lat,lon,dT_local
-87.5,32.5,1.0773988098822307
-87.5,35.0,1.0844564336548268
-87.5,37.5,1.091456155050378
-87.5,40.0,1.0958362255531024
-87.5,42.5,1.1037227678795594
-87.5,45.0,1.1134220624214108
-87.5,47.5,1.1161522457035562
-87.5,50.0,1.126326692007202
-87.5,52.5,1.131872226921899
-87.5,55.0,1.142519489536742
-87.5,57.5,1.1484906379849615
-87.5,60.0,1.155387194001897
-87.5,62.5,1.1633906883825764
-87.5,65.0,1.1717792053754055
-87.5,67.5,1.1753332500585925
-87.5,70.0,1.181867810036948
-87.5,72.5,1.1878410738882852
-87.5,75.0,1.1899944699454224
-87.5,77.5,1.196446471726616
-87.5,80.0,1.1995672246435707
-87.5,82.5,1.2063138529620026
-87.5,85.0,1.2109189019501394
-87.5,87.5,1.212974985340666
-87.5,90.0,1.2168786218400065
-87.5,92.5,1.2193204477455495
-87.5,95.0,1.225019396945107
-87.5,97.5,1.2305397653151995
-87.5,100.0,1.2387297105217634
-87.5,102.5,1.2385616530636907
-87.5,105.0,1.2410785227016063
-87.5,107.5,1.2373726544491963
-87.5,110.0,1.2357744695464743
-87.5,112.5,1.2377266750086502
-87.5,115.0,1.2353284324411773
-87.5,117.5,1.2271953850740607
-87.5,120.0,1.2246784888659337
-87.5,122.5,1.213865354958918
-87.5,125.0,1.2053851834942697
-87.5,127.5,1.1953537173807331
-87.5,130.0,1.1835922421727718
-87.5,132.5,1.1708340473130097
-87.5,135.0,1.1562930932372995
-87.5,137.5,1.1427950038877341
-87.5,140.0,1.130412790278035
-87.5,142.5,1.1267011503983688
-87.5,145.0,1.1117316947772284
-87.5,147.5,1.0960912493969772
-87.5,150.0,1.080694564501483
-87.5,152.5,1.0771884885542669
-87.5,155.0,1.074267544057789
-87.5,157.5,1.066697892090538
-87.5,160.0,1.0576498123811477
-87.5,162.5,1.0433815816723684
-87.5,165.0,1.0337420757673061
-87.5,167.5,1.0291804601422914
-87.5,170.0,1.0128913079862347
-87.5,172.5,1.0092049386792905
-87.5,175.0,1.0026640417566188
-87.5,177.5,0.9825580460086739
