con,Omega,Theta,ygross,ynet,inv,Eind,carbontax,Abatement,Dam,Emissions
631.29236,0.0028486038,0.010580756,860.2986,857.84784,217.47885,0.0,345.47385,9.10261,2.4506497,0.30620688
641.3202,0.0028466247,0.010353737,873.7972,871.30975,220.96825,0.0,343.75082,9.047065,2.4873724,0.29924446
651.43976,0.0028446766,0.010131402,887.41754,884.8931,224.48816,0.0,342.0363,8.990785,2.524416,0.2924403
661.6513,0.002842758,0.009913702,901.1607,898.5989,228.03917,0.0,340.3304,8.933839,2.5617816,0.28579083
671.95386,0.0028408687,0.009700501,915.02686,912.42737,231.6225,0.0,338.63303,8.876219,2.5994709,0.2792926
682.34985,0.0028390053,0.009491713,929.0175,926.38,235.23712,0.0,336.944,8.817967,2.6374855,0.27294213
692.83936,0.0028371692,0.009287285,943.1322,940.45636,238.88264,0.0,335.2635,8.759137,2.6758258,0.26673612
703.4241,0.0028353583,0.009087094,957.3725,954.6581,242.55891,0.0,333.5913,8.699734,2.7144942,0.26067114
714.10236,0.0028335718,0.008891075,971.7373,968.9838,246.26613,0.0,331.92758,8.639789,2.7534876,0.2547441
724.8758,0.002831808,0.0086991405,986.22754,983.4347,250.00389,0.0,330.272,8.579332,2.7928073,0.2489518
735.74347,0.0028300676,0.008511213,1000.8428,998.0103,253.77255,0.0,328.6248,8.518386,2.8324528,0.24329129
746.7061,0.0028283475,0.008327193,1015.5833,1012.71094,257.57178,0.0,326.98578,8.456959,2.8724227,0.23775938
757.7629,0.002826649,0.008147018,1030.449,1027.5364,261.40216,0.0,325.35492,8.395087,2.9127178,0.2323533
768.9148,0.0028249705,0.007970612,1045.4408,1042.4874,265.26334,0.0,323.73218,8.332803,2.9533396,0.22707012
780.1615,0.0028233107,0.007797884,1060.5576,1057.5635,269.15515,0.0,322.11758,8.270105,2.994284,0.22190705
791.5029,0.0028216697,0.0076287743,1075.8003,1072.7646,273.07788,0.0,320.51096,8.207037,3.035553,0.21686128
802.9393,0.0028200455,0.0074631968,1091.1683,1088.0912,277.03125,0.0,318.91235,8.143605,3.0771446,0.21193029
814.47046,0.0028184385,0.007301107,1106.6621,1103.5431,281.0154,0.0,317.32175,8.079858,3.119059,0.20711158
826.09576,0.0028168473,0.0071423952,1122.2815,1119.1201,285.03107,0.0,315.73904,8.015778,3.1612954,0.20240222
837.81635,0.0028152715,0.006987034,1138.0255,1134.8217,289.0763,0.0,314.16434,7.951422,3.2038505,0.1978001
849.63153,0.0028137094,0.0068349256,1153.896,1150.6494,293.1532,0.0,312.59738,7.886793,3.2467282,0.1933026
861.54175,0.0028121609,0.006686021,1169.8917,1166.6019,297.26025,0.0,311.0383,7.8219204,3.289924,0.1889073
873.54156,0.002810625,0.0065402547,1186.0131,1182.6798,301.40314,0.0,309.487,7.7568283,3.333438,0.18461207
885.6173,0.002809102,0.0063975486,1202.2612,1198.884,305.5968,0.0,307.94342,7.691524,3.3772743,0.1804144
897.7863,0.0028075895,0.0062578437,1218.6404,1215.219,309.82797,0.0,306.4075,7.6260605,3.421442,0.17631218
910.04724,0.0028060884,0.006121089,1235.1498,1231.6838,314.09732,0.0,304.87927,7.560462,3.4659395,0.17230324
922.4059,0.0028045983,0.005987226,1251.7869,1248.2761,318.39648,0.0,303.35867,7.494731,3.510759,0.16838548
934.8616,0.002803117,0.005856184,1268.552,1264.9962,322.7266,0.0,301.84564,7.4288745,3.5558999,0.16455674
947.4091,0.002801645,0.005727918,1285.4438,1281.8424,327.09103,0.0,300.34024,7.362916,3.6013575,0.16081521
960.0344,0.0028001813,0.005602369,1302.4629,1298.8158,331.5051,0.0,298.8423,7.296878,3.6471322,0.15715867
972.75806,0.0027987252,0.0054794713,1319.6117,1315.9185,335.9498,0.0,297.35178,7.2307744,3.6932304,0.15358528
985.5795,0.0027972774,0.0053591733,1336.8884,1333.1487,340.42453,0.0,295.8687,7.1646166,3.7396479,0.15009306
998.4975,0.002795837,0.0052414294,1354.2927,1350.5063,344.93024,0.0,294.393,7.0984297,3.7863817,0.14668027
1011.5102,0.0027944027,0.005126192,1371.8223,1367.9889,349.46616,0.0,292.92477,7.0322237,3.833424,0.14334513
1024.6185,0.0027929745,0.0050133946,1389.4786,1385.5979,354.0328,0.0,291.46375,6.9660044,3.8807783,0.14008576
1037.8219,0.0027915502,0.004902991,1407.261,1403.3325,358.63022,0.0,290.01004,6.899787,3.9284399,0.13690053
1051.1188,0.002790132,0.004794941,1425.168,1421.1915,363.25815,0.0,288.56363,6.8335967,3.976407,0.13378775
1064.5105,0.002788717,0.004689195,1443.1995,1439.1747,367.91565,0.0,287.12442,6.7674437,4.0246744,0.13074575
1077.9948,0.002787307,0.0045856987,1461.3553,1457.2822,372.60492,0.0,285.69235,6.7013354,4.073246,0.12777293
1091.5724,0.0027859006,0.0044844053,1479.6354,1475.5134,377.32416,0.0,284.26752,6.635285,4.1221175,0.1248677
1105.2433,0.0027844957,0.0043852776,1498.0393,1493.868,382.07382,0.0,282.8497,6.5693183,4.171284,0.122028455
1119.0072,0.0027830938,0.004288263,1516.5673,1512.3464,386.8541,0.0,281.43893,6.50344,4.2207494,0.11925384
1132.8628,0.0027816948,0.0041933185,1535.2175,1530.9469,391.66437,0.0,280.03522,6.4376564,4.270506,0.1165423
1146.8108,0.0027802975,0.004100418,1553.9904,1549.6698,396.5047,0.0,278.6386,6.37201,4.320555,0.11389247
1160.8438,0.002778901,0.0040094946,1572.8864,1568.5155,401.3827,0.0,277.2489,6.3064795,4.3708954,0.11130284
1174.9537,0.0027775047,0.0039205244,1591.8928,1587.4714,406.29395,0.0,275.86612,6.241055,4.42149,0.108772084
