kplusy,lambd_haty
3857.6946,0.9363482
3905.3994,0.935828
3953.4077,0.9353149
4001.7144,0.93480957
4050.3267,0.9343103
4099.24,0.9338169
4148.462,0.93332875
4197.987,0.93284607
4247.8164,0.93236893
4297.9434,0.9318969
4348.375,0.93143016
4399.111,0.9309669
4450.1436,0.93051004
4501.477,0.93005633
4553.1074,0.9296084
4605.035,0.92916423
4657.2607,0.9287245
4709.78,0.92828953
4762.5967,0.92785865
4815.704,0.92743164
4869.1035,0.9270098
4922.7954,0.9265912
4976.774,0.9261771
5031.041,0.9257667
5085.595,0.9253598
5140.4385,0.9249577
5195.5605,0.92455864
5250.965,0.92416453
5306.653,0.92377365
5362.618,0.92338645
5418.865,0.92300344
5475.387,0.9226231
5532.1836,0.92224723
5589.256,0.9218744
5646.6016,0.9215048
5704.214,0.9211394
5762.101,0.92077756
5820.2524,0.92041844
5878.6685,0.9200626
5937.349,0.91971046
5996.294,0.91936135
6055.4985,0.9190154
6114.9653,0.9186736
6174.691,0.9183339
6234.6694,0.9179982
6294.8965,0.9176654
6355.3804,0.9173355
6416.1157,0.9170083
6477.101,0.9166842
6538.33,0.9163631
6599.8047,0.9160452
6661.524,0.9157299
6723.485,0.9154183
6785.6807,0.91510904
6848.124,0.9148019
6910.798,0.91449785
6973.705,0.91419625
7036.846,0.9138983
7100.218,0.91360205
7163.8174,0.913309
7227.6396,0.9130191
7291.6924,0.9127311
7355.968,0.9124446
7420.454,0.9121621
7485.163,0.9118817
7550.089,0.9116036
7615.2314,0.9113288
7680.5864,0.9110551
7746.155,0.91078407
7811.922,0.91051656
7877.898,0.9102502
7944.076,0.90998614
8010.4585,0.90972567
8077.0396,0.9094669
8143.819,0.90920925
8210.796,0.9089547
8277.963,0.90870154
8345.315,0.9084521
8412.872,0.908204
8480.606,0.90795785
8548.527,0.9077143
8616.619,0.9074722
8684.904,0.907232
8753.366,0.90699446
8822.003,0.90675837
8890.805,0.90652514
8959.783,0.9062941
9028.932,0.9060635
9098.247,0.90583634
9167.726,0.90561056
9237.366,0.90538603
9307.164,0.9051637
9377.128,0.90494287
9447.246,0.90472466
9517.507,0.9045059
9587.917,0.9042895
9658.487,0.9040749
9729.187,0.9038622
9800.03,0.9036517
9871.013,0.90344316
9942.133,0.90323573
10013.401,0.903031
10084.787,0.9028277
10156.316,0.9026257
10227.974,0.9024257
10299.764,0.9022274
10371.666,0.90203065
10443.698,0.9018346
10515.822,0.90163994
10588.05,0.90144855
10660.383,0.9012597
10732.798,0.9010714
10805.302,0.9008872
