con,Omega,ygross,ynet,inv,Eind,scc,carbontax,Dam,Emissions
936.7383,0.03711954,1299.7762,1251.529,314.79086,62.27447,292.40796,297.35178,48.247097,62.42805
948.4382,0.037432708,1316.4753,1267.196,318.75778,61.999023,296.6385,295.8687,49.279232,62.14912
960.21796,0.03774482,1333.2955,1282.9706,322.75262,61.719456,300.90747,294.393,50.325,61.86613
972.07623,0.03805585,1350.236,1298.8516,326.77536,61.43583,305.21472,292.92477,51.384373,61.579174
984.01434,0.03836576,1367.2977,1314.8403,330.8259,61.148216,309.56073,291.46375,52.457417,61.2883
996.0318,0.038674556,1384.4806,1330.9365,334.90463,60.856678,313.94522,290.01004,53.544174,60.99358
1008.1283,0.038982186,1401.7842,1347.1396,339.01123,60.56143,318.36838,288.56363,54.64461,60.695225
1020.3038,0.03928865,1419.208,1363.4492,343.14554,60.262566,322.83008,287.12442,55.75877,60.393307
1032.5543,0.039593928,1436.7524,1379.8656,347.3113,59.960064,327.33267,285.69235,56.886673,60.08784
1044.8726,0.039897982,1454.4147,1396.3865,351.51392,59.653957,331.87698,284.26752,58.028214,59.778828
1057.2635,0.0402008,1472.19,1413.0068,355.74313,59.344234,336.4559,282.8497,59.183212,59.466263
1069.7279,0.04050236,1490.0804,1429.7286,360.0007,59.031017,341.06992,281.43893,60.35177,59.150272
1082.266,0.040802646,1508.0853,1446.5515,364.28543,58.71438,345.7201,280.03522,61.53387,58.830917
1094.8789,0.04110164,1526.2065,1463.4768,368.598,58.394707,350.40674,278.6386,62.72959,58.508602
1107.5674,0.041399322,1544.4445,1480.5056,372.9383,58.07182,355.13058,277.2489,63.938957,58.183125
1120.3312,0.041695673,1562.7996,1497.6375,377.30637,57.74606,359.89163,275.86612,65.16197,57.85483
1133.1718,0.041990675,1581.2725,1514.8738,381.7019,57.417435,364.69086,274.4902,66.3987,57.52373
1146.088,0.04228431,1599.8624,1532.2134,386.12543,57.086052,369.52792,273.12112,67.64908,57.18993
1159.0792,0.042576563,1618.5687,1549.6556,390.57645,56.752052,374.40277,271.7589,68.91309,56.853573
1172.1471,0.042867407,1637.3928,1567.2019,395.05487,56.41551,379.3159,270.40353,70.19078,56.51472
1185.2906,0.043156836,1656.3341,1584.8518,399.5612,56.0766,384.26746,269.05487,71.48214,56.173553
1198.5096,0.043444827,1675.3916,1602.6046,404.09485,55.735287,389.2571,267.71292,72.787094,55.83004
1211.8047,0.043731388,1694.5664,1620.4606,408.65594,55.391727,394.28516,266.3777,74.105736,55.484325
1225.1742,0.044016484,1713.8566,1638.4186,413.24435,55.046047,399.3514,265.04916,75.437935,55.136536
