con,Omega,Theta,ygross,ynet,inv,Eind,carbontax,Abatement,Dam,Emissions
663.84827,0.002846018,0.009913702,902.91425,900.3446,227.57057,0.0,340.3304,8.951222,2.56971,0.28579083
674.17645,0.0028433788,0.009700501,916.75635,914.1496,231.1055,0.0,338.63303,8.892996,2.6066856,0.2792926
684.5968,0.0028407786,0.009491713,930.7209,928.07684,234.67097,0.0,336.944,8.834136,2.6439717,0.27294213
695.10846,0.0028382153,0.009287285,944.8074,942.1258,238.26756,0.0,335.2635,8.774694,2.681567,0.26673612
705.7027,0.0028356898,0.009087094,959.0178,956.29834,241.90567,0.0,333.5913,8.7146845,2.719477,0.26067114
716.389,0.0028332018,0.008891075,973.35095,970.5933,245.57478,0.0,331.92758,8.654137,2.7576997,0.2547441
727.1682,0.0028307505,0.0086991405,987.8087,985.0125,249.27559,0.0,330.272,8.593087,2.7962399,0.2489518
738.04034,0.0028283366,0.008511213,1002.39044,999.55536,253.00761,0.0,328.6248,8.531559,2.8350976,0.24329129
749.0055,0.0028259575,0.008327193,1017.0966,1014.2223,256.77124,0.0,326.98578,8.46956,2.8742719,0.23775938
760.0637,0.0028236152,0.008147018,1031.9276,1029.0139,260.56686,0.0,325.35492,8.407133,2.9137664,0.2323533
771.21576,0.0028213083,0.007970612,1046.8839,1043.9303,264.39374,0.0,323.73218,8.344305,2.9535823,0.22707012
782.4608,0.0028190375,0.007797884,1061.965,1058.9713,268.25284,0.0,322.11758,8.28108,2.9937196,0.22190705
793.7998,0.002816802,0.0076287743,1077.1716,1074.1375,272.1433,0.0,320.51096,8.2175,3.0341792,0.21686128
805.2321,0.0028146012,0.0074631968,1092.5038,1089.4288,276.06607,0.0,318.91235,8.15357,3.0749624,0.21193029
816.7579,0.0028124347,0.007301107,1107.9612,1104.8451,280.02057,0.0,317.32175,8.089343,3.1160684,0.20711158
828.37775,0.0028103031,0.0071423952,1123.5444,1120.3868,284.00687,0.0,315.73904,8.024798,3.1575003,0.20240222
840.0905,0.002808206,0.006987034,1139.2523,1136.053,288.02493,0.0,314.16434,7.959995,3.1992555,0.1978001
851.89777,0.0028061431,0.0068349256,1155.087,1151.8457,292.07516,0.0,312.59738,7.894933,3.2413392,0.1933026
863.79816,0.0028041133,0.006686021,1171.047,1167.7633,296.1574,0.0,311.0383,7.8296447,3.2837486,0.1889073
875.7923,0.0028021173,0.0065402547,1187.1328,1183.8063,300.27158,0.0,309.487,7.76415,3.3264852,0.18461207
887.88025,0.0028001543,0.0063975486,1203.3446,1199.975,304.41785,0.0,307.94342,7.6984553,3.3695502,0.1804144
900.0615,0.002798224,0.0062578437,1219.6816,1216.2687,308.59598,0.0,306.4075,7.632577,3.4129424,0.17631218
912.3366,0.0027963256,0.006121089,1236.145,1232.6884,312.80637,0.0,304.87927,7.5665536,3.4566638,0.17230324
924.70465,0.0027944604,0.005987226,1252.7334,1249.2328,317.04865,0.0,303.35867,7.500398,3.500714,0.16838548
937.1665,0.0027926269,0.005856184,1269.4479,1265.9027,321.32288,0.0,301.84564,7.434119,3.545094,0.16455674
949.72125,0.0027908252,0.005727918,1286.2872,1282.6975,325.6291,0.0,300.34024,7.367748,3.5898027,0.16081521
962.3692,0.0027890555,0.005602369,1303.2524,1299.6177,329.96744,0.0,298.8423,7.301301,3.6348433,0.15715867
975.1111,0.002787316,0.0054794713,1320.3436,1316.6633,334.33777,0.0,297.35178,7.2347846,3.6802146,0.15358528
987.9457,0.002785607,0.0053591733,1337.5597,1333.8339,338.73987,0.0,295.8687,7.1682143,3.7259157,0.15009306
1000.8734,0.00278393,0.0052414294,1354.9012,1351.1293,343.1739,0.0,294.393,7.1016197,3.7719502,0.14668027
1013.89307,0.002782282,0.005126192,1372.3671,1368.5488,347.6402,0.0,292.92477,7.035017,3.8183124,0.14334513
1027.006,0.0027806642,0.0050133946,1389.9584,1386.0933,352.13828,0.0,291.46375,6.96841,3.8650079,0.14008576
1040.2118,0.002779076,0.004902991,1407.6746,1403.7626,356.66806,0.0,290.01004,6.901816,3.912035,0.13690053
1053.5095,0.0027775175,0.004794941,1425.5151,1421.5559,361.23004,0.0,288.56363,6.8352604,3.9593937,0.13378775
1066.8993,0.0027759885,0.004689195,1443.48,1439.4727,365.82355,0.0,287.12442,6.768759,4.0070834,0.13074575
1080.381,0.0027744882,0.0045856987,1461.5686,1457.5135,370.44882,0.0,285.69235,6.702314,4.055105,0.12777293
1093.955,0.0027730162,0.0044844053,1479.7817,1475.6785,375.10587,0.0,284.26752,6.635941,4.103459,0.1248677
1107.6205,0.0027715722,0.0043852776,1498.1188,1493.9666,379.79465,0.0,282.8497,6.5696664,4.152144,0.122028455
1121.3778,0.002770156,0.004288263,1516.5798,1512.3787,384.51526,0.0,281.43893,6.5034933,4.2011623,0.11925384
