foc_kplus,foc_lambd,kkt_mu_fb,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_MLFplus,foc_TOCplus
2.998e-04,2.873e-03,9.337e-04,3.942e-04,5.251e-04,1.613e-04,6.029e-05,2.741e-04,1.715e-04
3.105e-04,2.866e-03,9.543e-04,4.067e-04,5.134e-04,1.463e-04,5.669e-05,2.497e-04,1.628e-04
3.244e-04,2.862e-03,9.672e-04,4.199e-04,5.015e-04,1.317e-04,5.307e-05,2.261e-04,1.551e-04
3.375e-04,2.864e-03,9.726e-04,4.331e-04,4.901e-04,1.143e-04,4.928e-05,2.047e-04,1.488e-04
3.519e-04,2.870e-03,9.704e-04,4.458e-04,4.807e-04,1.032e-04,4.593e-05,1.849e-04,1.397e-04
3.667e-04,2.880e-03,9.607e-04,4.586e-04,4.690e-04,8.768e-05,4.251e-05,1.664e-04,1.333e-04
3.785e-04,2.893e-03,9.436e-04,4.717e-04,4.466e-04,7.012e-05,4.155e-05,1.493e-04,1.199e-04
3.933e-04,2.901e-03,9.178e-04,4.848e-04,4.385e-04,5.642e-05,3.808e-05,1.305e-04,1.144e-04
4.089e-04,2.911e-03,8.846e-04,4.976e-04,4.323e-04,4.333e-05,3.377e-05,1.149e-04,1.070e-04
4.241e-04,2.923e-03,8.443e-04,5.108e-04,4.256e-04,3.135e-05,3.040e-05,1.014e-04,1.006e-04
4.408e-04,2.939e-03,7.970e-04,5.235e-04,4.196e-04,1.895e-05,2.659e-05,8.786e-05,9.450e-05
4.577e-04,2.955e-03,7.428e-04,5.363e-04,4.160e-04,6.437e-06,2.298e-05,7.701e-05,8.911e-05
4.748e-04,2.974e-03,6.818e-04,5.495e-04,4.121e-04,4.470e-06,1.804e-05,6.700e-05,8.142e-05
4.913e-04,2.993e-03,6.144e-04,5.636e-04,4.083e-04,1.585e-05,1.567e-05,5.913e-05,7.626e-05
5.086e-04,3.011e-03,5.406e-04,5.763e-04,4.057e-04,2.569e-05,1.266e-05,5.186e-05,7.129e-05
5.268e-04,3.032e-03,4.605e-04,5.893e-04,4.044e-04,3.773e-05,7.956e-06,4.637e-05,6.488e-05
5.437e-04,3.053e-03,3.743e-04,6.040e-04,4.026e-04,4.733e-05,4.716e-06,4.041e-05,6.005e-05
5.618e-04,3.073e-03,2.823e-04,6.178e-04,4.020e-04,5.746e-05,2.131e-06,3.743e-05,5.391e-05
5.797e-04,3.092e-03,1.846e-04,6.301e-04,4.014e-04,6.658e-05,1.335e-06,3.457e-05,4.900e-05
5.970e-04,3.112e-03,8.154e-05,6.448e-04,4.029e-04,7.653e-05,5.144e-06,3.374e-05,4.390e-05
