kx,MATx,MUOx,MLOx,MLFx,MLFeqx,TATx,TOCx,taux
5353.194,1123.2749,1893.406,37496.85,436.9005,227.24107,2.898833,2.022215,0.9385796
5403.0835,1122.0001,1893.2335,37498.87,436.3394,227.23123,2.8974392,2.0282547,0.9394941
5453.1714,1120.7413,1893.0372,37500.89,435.78625,227.22162,2.8960721,2.0342433,0.9403949
5503.4536,1119.4987,1892.8174,37502.906,435.24094,227.21223,2.8947306,2.0401814,0.9412823
5553.9375,1118.2714,1892.5751,37504.92,434.7032,227.20305,2.8934138,2.0460691,0.9421565
5604.6147,1117.0592,1892.3105,37506.934,434.17294,227.19409,2.8921206,2.0519073,0.94301766
5655.4834,1115.8619,1892.0248,37508.95,433.64987,227.18532,2.8908505,2.0576963,0.943866
5706.545,1114.679,1891.7181,37510.965,433.1339,227.17676,2.8896024,2.0634367,0.94470173
5757.794,1113.5101,1891.3914,37512.977,432.6248,227.16838,2.8883758,2.069129,0.945525
5809.242,1112.355,1891.0449,37514.992,432.1224,227.1602,2.8871696,2.0747736,0.94633603
5860.8745,1111.2131,1890.6793,37517.004,431.6266,227.15219,2.885983,2.080371,0.947135
5912.6934,1110.0844,1890.2954,37519.01,431.13718,227.14438,2.8848155,2.0859215,0.94792205
5964.7017,1108.9681,1889.8933,37521.023,430.654,227.13673,2.8836663,2.091426,0.9486974
6016.8843,1107.8645,1889.4736,37523.03,430.17688,227.12927,2.8825345,2.0968845,0.94946116
6069.2554,1106.7728,1889.0371,37525.04,429.70575,227.12196,2.8814197,2.1022975,0.9502136
6121.8057,1105.6929,1888.5841,37527.047,429.24036,227.11484,2.880321,2.1076658,0.95095485
6174.538,1104.6244,1888.115,37529.055,428.7806,227.10786,2.8792377,2.1129894,0.9516851
6227.4434,1103.5671,1887.6304,37531.055,428.3264,227.10106,2.8781693,2.118269,0.9524044
6280.531,1102.521,1887.1305,37533.055,427.87753,227.09439,2.877115,2.1235046,0.953113
6333.786,1101.4856,1886.6158,37535.055,427.4339,227.0879,2.8760743,2.128697,0.95381105
6387.2173,1100.4604,1886.0872,37537.047,426.9954,227.08156,2.8750472,2.1338463,0.9544987
6440.8154,1099.4454,1885.5447,37539.043,426.56183,227.07533,2.8740325,2.1389532,0.9551761
6494.586,1098.4406,1884.9886,37541.04,426.13318,227.06927,2.8730295,2.144018,0.95584345
6548.53,1097.4452,1884.4196,37543.03,425.70926,227.06334,2.8720381,2.149041,0.9565009
6602.64,1096.4595,1883.8379,37545.02,425.28992,227.05754,2.8710575,2.1540225,0.95714855
6656.917,1095.483,1883.2439,37547.01,424.87515,227.05188,2.8700876,2.1589627,0.95778656
6711.3535,1094.5155,1882.6378,37549.0,424.46475,227.04636,2.8691275,2.1638625,0.95841503
6765.9478,1093.5568,1882.0203,37550.99,424.05875,227.04094,2.8681767,2.1687217,0.95903414
6820.699,1092.6067,1881.3914,37552.973,423.65686,227.03566,2.8672347,2.1735408,0.9596441
6875.616,1091.6649,1880.7517,37554.953,423.2591,227.03049,2.8663015,2.1783204,0.9602449
6930.685,1090.7313,1880.1014,37556.938,422.8653,227.02544,2.8653762,2.1830606,0.96083677
6985.905,1089.8057,1879.4409,37558.918,422.4754,227.02051,2.8644583,2.1877618,0.9614198
7041.2837,1088.8878,1878.7705,37560.9,422.08932,227.01567,2.8635478,2.1924243,0.96199423
