kx,MATx,MUOx,MLOx,MLFx,TATx,TOCx,taux
2594.121,1199.87,1760.9873,37361.363,785.81024,2.8549178,1.4256355,0.83716327
2628.4297,1199.7145,1764.2341,37363.06,786.04895,2.8589246,1.4354832,0.83958757
2663.0027,1199.5188,1767.433,37364.766,786.2559,2.8627985,1.4452907,0.8419758
2697.8374,1199.284,1770.5834,37366.477,786.4316,2.8665419,1.4550573,0.8443285
2732.934,1199.0114,1773.6854,37368.2,786.5765,2.8701565,1.4647824,0.8466462
2768.2905,1198.7015,1776.7389,37369.926,786.69104,2.8736448,1.4744654,0.84892935
2803.9097,1198.3555,1779.7437,37371.664,786.77606,2.8770096,1.4841057,0.8511785
2839.7925,1197.9741,1782.6997,37373.406,786.8319,2.8802526,1.4937028,0.8533942
2875.9355,1197.5585,1785.6068,37375.152,786.8591,2.8833764,1.5032561,0.8555769
2912.337,1197.1096,1788.4653,37376.906,786.85834,2.8863828,1.5127652,0.85772705
2949.007,1196.6289,1791.275,37378.668,786.8301,2.8892744,1.5222294,0.8598452
2985.9402,1196.1184,1794.0358,37380.44,786.77496,2.8920536,1.5316484,0.86193186
3023.1362,1195.5786,1796.7478,37382.22,786.6937,2.8947244,1.5410216,0.86398745
3060.5935,1195.0104,1799.411,37384.004,786.587,2.8972886,1.5503486,0.8660124
3098.3115,1194.4147,1802.0258,37385.793,786.4554,2.8997493,1.5596291,0.86800724
3136.287,1193.7917,1804.592,37387.59,786.29956,2.9021091,1.5688626,0.86997235
3174.521,1193.1428,1807.1097,37389.395,786.12006,2.9043696,1.5780486,0.8719082
3213.0132,1192.4684,1809.5791,37391.2,785.91754,2.906533,1.5871869,0.87381524
3251.7651,1191.7695,1812.0005,37393.016,785.6925,2.9086015,1.5962772,0.8756939
3290.7734,1191.0468,1814.3739,37394.84,785.4457,2.910577,1.6053191,0.87754464
3330.0378,1190.3008,1816.6992,37396.668,785.1776,2.9124618,1.6143124,0.87936777
3369.5605,1189.5323,1818.9773,37398.504,784.8888,2.9142575,1.6232567,0.8811638
3409.3354,1188.7426,1821.2078,37400.34,784.5799,2.915966,1.6321517,0.882933
3449.3672,1187.9318,1823.3911,37402.188,784.2513,2.917589,1.6409972,0.8846759
3489.6514,1187.1007,1825.5275,37404.04,783.90375,2.9191287,1.6497929,0.8863929
3530.1775,1186.251,1827.617,37405.89,783.5376,2.9205868,1.6585386,0.8880843
3570.9526,1185.3832,1829.6599,37407.754,783.15356,2.9219654,1.6672341,0.88975054
3611.9739,1184.498,1831.6567,37409.617,782.75214,2.923267,1.6758791,0.89139193
3653.2793,1183.5962,1833.6074,37411.49,782.3339,2.9244928,1.6844736,0.89300895
3694.8955,1182.6775,1835.5126,37413.363,781.8995,2.9256454,1.6930174,0.8946019
3736.7761,1181.7429,1837.3723,37415.246,781.4492,2.9267263,1.7015102,0.8961711
3778.905,1180.7933,1839.187,37417.13,780.9837,2.927737,1.7099519,0.8977169
3821.2651,1179.8298,1840.9569,37419.02,780.50336,2.9286788,1.7183424,0.8992397
3863.869,1178.8531,1842.6824,37420.91,780.0087,2.9295537,1.7266816,0.90073985
3906.7207,1177.8638,1844.3636,37422.81,779.5004,2.9303644,1.7349694,0.9022176
