kplusy,lambd_haty
2141.1514,0.9577309
2175.2285,0.9568272
2209.6277,0.95593506
2244.3442,0.95505404
2279.3833,0.9541824
2314.7415,0.95332193
2350.401,0.9524796
2386.378,0.95165974
2422.696,0.95085704
2459.3552,0.95005846
2496.352,0.94926524
2533.6833,0.9484787
2571.3474,0.9476975
2609.346,0.94692373
2647.6765,0.9461567
2686.3372,0.94539607
2725.3286,0.9446442
2764.6365,0.9438951
2804.261,0.9431577
2844.2007,0.9424296
2884.4497,0.9417109
2924.9946,0.94100356
2965.8394,0.940308
3006.9873,0.93962574
3048.4417,0.9389547
3090.2017,0.93829435
3132.2703,0.9376444
3174.6504,0.937004
3217.3433,0.93637276
3260.348,0.9357494
3303.6663,0.93513477
3347.2974,0.9345282
3391.2454,0.9339289
3435.5083,0.93333715
3480.0852,0.9327529
3524.976,0.9321745
3570.1802,0.9316041
3615.699,0.9310405
3661.5327,0.9304833
3707.6829,0.9299314
3754.1467,0.9293867
3800.919,0.9288468
3847.9858,0.92830914
3895.3503,0.9277805
3943.0105,0.9272604
3990.974,0.92674756
4039.2383,0.92624176
4087.8027,0.92574245
4136.6675,0.92524964
4185.835,0.9247633
4235.3047,0.92428267
4285.0737,0.92380846
4335.1436,0.92333955
4385.514,0.92287576
4436.187,0.92241764
4487.158,0.92196524
4538.4253,0.9215164
4589.9946,0.9210739
4641.8574,0.9206352
4694.019,0.920202
4746.4785,0.91977334
4799.2295,0.91934943
4852.2734,0.91892976
4905.6147,0.918515
4959.245,0.91810405
5013.168,0.91769725
5067.377,0.9172945
5121.8755,0.91689664
5176.6606,0.9165033
5231.7314,0.91611385
5287.0903,0.9157269
5342.7334,0.9153454
5398.6597,0.9149669
5454.865,0.91459185
5511.353,0.91422176
5568.1113,0.9138549
5625.152,0.9134915
5682.468,0.9131321
5740.0576,0.9127765
5797.9263,0.9124237
5856.0635,0.9120743
5914.467,0.9117291
5973.144,0.91138625
6032.0884,0.91104716
6091.2983,0.91071147
6150.7783,0.9103788
6210.517,0.910049
6270.5176,0.90972173
6330.7705,0.90939844
