con,Omega,Theta,ygross,ynet,inv,Eind,carbontax,Abatement,Dam,Emissions
879.6509,0.0032176636,0.0065402547,1191.5139,1187.68,300.2615,0.0,309.487,7.7928047,3.833891,0.18461207
891.7998,0.003215247,0.0063975486,1207.7887,1203.9054,304.40366,0.0,307.94342,7.7268867,3.8833392,0.1804144
904.0466,0.003212845,0.0062578437,1224.1896,1220.2563,308.5736,0.0,306.4075,7.660787,3.9331312,0.17631218
916.38617,0.003210457,0.006121089,1240.715,1236.7316,312.77533,0.0,304.87927,7.5945272,3.983262,0.17230324
928.81903,0.003208082,0.005987226,1257.3638,1253.3301,317.007,0.0,303.35867,7.528121,4.033726,0.16838548
941.3457,0.0032057206,0.005856184,1274.1373,1270.0526,321.26935,0.0,301.84564,7.461582,4.084528,0.16455674
953.9637,0.00320337,0.005727918,1291.0333,1286.8976,325.5626,0.0,300.34024,7.3949323,4.1356573,0.16081521
966.67334,0.0032010316,0.005602369,1308.0508,1303.8636,329.8857,0.0,298.8423,7.3281837,4.187112,0.15715867
979.47345,0.0031987042,0.0054794713,1325.1903,1320.9515,334.24002,0.0,297.35178,7.2613425,4.238892,0.15358528
992.3645,0.0031963878,0.0053591733,1342.452,1338.161,338.62503,0.0,295.8687,7.1944327,4.290997,0.15009306
1005.34705,0.0031940811,0.0052414294,1359.8358,1355.4923,343.0405,0.0,294.393,7.1274834,4.3434258,0.14668027
1018.42017,0.003191784,0.005126192,1377.3413,1372.9451,347.4869,0.0,292.92477,7.060515,4.396176,0.14334513
1031.5852,0.0031894948,0.0050133946,1394.9697,1390.5205,351.96402,0.0,291.46375,6.9935346,4.449249,0.14008576
1044.842,0.003187215,0.004902991,1412.7212,1408.2184,356.4719,0.0,290.01004,6.926559,4.5026455,0.13690053
1058.191,0.0031849425,0.004794941,1430.595,1426.0386,361.00964,0.0,288.56363,6.859618,4.5563626,0.13378775
1071.6312,0.003182678,0.004689195,1448.5913,1443.9808,365.57837,0.0,287.12442,6.792727,4.6103992,0.13074575
1085.1631,0.00318042,0.0045856987,1466.7097,1462.045,370.17746,0.0,285.69235,6.7258897,4.6647534,0.12777293
1098.7871,0.0031781679,0.0044844053,1484.9513,1480.232,374.80698,0.0,284.26752,6.659124,4.7194247,0.1248677
1112.5023,0.003175922,0.0043852776,1503.3151,1498.5406,379.46674,0.0,282.8497,6.5924544,4.774411,0.122028455
1126.3096,0.0031736828,0.004288263,1521.8018,1516.9719,384.15732,0.0,281.43893,6.5258865,4.829716,0.11925384
1140.2083,0.003171448,0.0041933185,1540.4094,1535.524,388.87683,0.0,280.03522,6.459427,4.885328,0.1165423
1154.1973,0.0031692183,0.004100418,1559.1388,1554.1975,393.62732,0.0,278.6386,6.3931212,4.941251,0.11389247
1168.2775,0.0031669918,0.0040094946,1577.9904,1572.9929,398.40854,0.0,277.2489,6.3269434,4.9974823,0.11130284
1182.4487,0.00316477,0.0039205244,1596.9635,1591.9093,403.2195,0.0,275.86612,6.260934,5.054022,0.108772084
1196.7123,0.0031625526,0.0038334571,1616.0585,1610.9478,408.0598,0.0,274.4902,6.1950912,5.11087,0.1062988
1211.0654,0.0031603377,0.0037482565,1635.2747,1630.1066,412.93115,0.0,273.12112,6.129429,5.1680207,0.10388178
1225.5095,0.0031581244,0.0036648896,1654.6104,1649.3849,417.8304,0.0,271.7589,6.0639644,5.2254653,0.10151975
1240.0476,0.0031559144,0.0035833125,1674.0669,1668.7836,422.75623,0.0,270.40353,5.998705,5.2832117,0.09921143
1254.673,0.0031537064,0.0035034928,1693.641,1688.2998,427.71188,0.0,269.05487,5.9336596,5.341246,0.09695557
1269.3855,0.0031515,0.003425389,1713.3329,1707.9332,432.69757,0.0,267.71292,5.8688316,5.399568,0.09475104
1284.186,0.0031492938,0.003348967,1733.1432,1727.6852,437.71317,0.0,266.3777,5.8042393,5.458177,0.09259661
1299.0736,0.0031470908,0.0032741965,1753.0702,1747.5531,442.75775,0.0,265.04916,5.739897,5.5170712,0.0904912
1314.0497,0.0031448873,0.0032010295,1773.1158,1767.5396,447.83188,0.0,263.7271,5.6757965,5.576249,0.08843359
