foc_kplus,foc_lambd,kkt_mu_fb,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_MLFplus,foc_TOCplus
5.720e-04,2.917e-03,0.000e+00,1.151e-03,5.386e-04,5.889e-05,2.640e-05,2.577e-04,1.144e-05
5.385e-04,2.972e-03,0.000e+00,1.172e-03,5.560e-04,3.552e-05,2.269e-05,2.477e-04,8.106e-06
5.068e-04,3.027e-03,0.000e+00,1.192e-03,5.732e-04,1.270e-05,1.668e-05,2.403e-04,4.649e-06
4.766e-04,3.078e-03,0.000e+00,1.209e-03,5.896e-04,1.132e-05,1.209e-05,2.306e-04,1.132e-06
4.480e-04,3.128e-03,0.000e+00,1.228e-03,6.056e-04,3.403e-05,7.343e-06,2.208e-04,1.609e-06
4.196e-04,3.175e-03,0.000e+00,1.243e-03,6.208e-04,5.627e-05,2.875e-06,2.124e-04,4.172e-06
3.922e-04,3.216e-03,0.000e+00,1.259e-03,6.366e-04,7.856e-05,1.851e-06,2.043e-04,6.557e-06
3.669e-04,3.257e-03,0.000e+00,1.274e-03,6.511e-04,1.007e-04,5.614e-06,1.957e-04,9.000e-06
3.419e-04,3.295e-03,0.000e+00,1.287e-03,6.664e-04,1.203e-04,1.040e-05,1.888e-04,9.120e-06
3.181e-04,3.326e-03,0.000e+00,1.300e-03,6.819e-04,1.408e-04,1.395e-05,1.812e-04,1.025e-05
2.935e-04,3.357e-03,0.000e+00,1.312e-03,6.971e-04,1.600e-04,1.743e-05,1.740e-04,1.258e-05
2.725e-04,3.382e-03,0.000e+00,1.322e-03,7.129e-04,1.771e-04,2.044e-05,1.686e-04,1.252e-05
2.495e-04,3.404e-03,0.000e+00,1.333e-03,7.284e-04,1.948e-04,2.412e-05,1.631e-04,1.222e-05
2.285e-04,3.422e-03,0.000e+00,1.342e-03,7.432e-04,2.121e-04,2.725e-05,1.581e-04,1.222e-05
2.098e-04,3.437e-03,0.000e+00,1.364e-03,6.871e-04,2.430e-04,2.455e-05,1.328e-04,2.974e-05
2.018e-04,3.498e-03,0.000e+00,1.366e-03,6.926e-04,2.609e-04,2.604e-05,1.168e-04,2.891e-05
1.936e-04,3.552e-03,0.000e+00,1.367e-03,6.988e-04,2.781e-04,3.002e-05,1.035e-04,2.962e-05
1.860e-04,3.600e-03,0.000e+00,1.368e-03,7.033e-04,2.936e-04,3.251e-05,9.251e-05,2.998e-05
1.775e-04,3.643e-03,0.000e+00,1.367e-03,7.086e-04,3.071e-04,3.544e-05,8.082e-05,3.028e-05
1.696e-04,3.678e-03,0.000e+00,1.366e-03,7.153e-04,3.211e-04,3.709e-05,7.081e-05,2.909e-05
1.622e-04,3.710e-03,0.000e+00,1.364e-03,7.219e-04,3.325e-04,4.104e-05,6.270e-05,2.956e-05
1.553e-04,3.736e-03,0.000e+00,1.361e-03,7.257e-04,3.453e-04,4.202e-05,5.460e-05,2.831e-05
1.482e-04,3.758e-03,0.000e+00,1.356e-03,7.365e-04,3.554e-04,4.395e-05,5.054e-05,2.658e-05
