kplusy,lambd_haty,muy,nuAT_haty,nuUO_haty,nuLO_haty,nuLF_haty,etaAT_haty,etaOC_haty
1801.8922,1.034158,1.0,2.8391473,-0.9617477,-0.0049193995,-2.513133,-0.16797115,-0.5902745
1832.518,1.0329206,1.0,2.8405447,-0.96280324,-0.004964878,-2.514606,-0.16772915,-0.5898485
1863.47,1.0316918,1.0,2.8419309,-0.96384746,-0.0050066905,-2.5160685,-0.16748978,-0.58942604
1894.7445,1.030473,1.0,2.843304,-0.9648789,-0.005044152,-2.5175216,-0.16725434,-0.5890068
1926.339,1.0292647,1.0,2.8446646,-0.9658975,-0.005077471,-2.5189629,-0.1670223,-0.5885905
1958.2517,1.0280682,1.0,2.8460116,-0.96690226,-0.005108048,-2.520393,-0.16679336,-0.58817613
1990.4822,1.0268832,1.0,2.8473454,-0.96789527,-0.0051339464,-2.5218122,-0.16656734,-0.58776593
2023.03,1.0257115,1.0,2.8486662,-0.9688741,-0.0051565366,-2.52322,-0.16634353,-0.58735806
2055.8916,1.024551,1.0,2.8499737,-0.9698401,-0.005175789,-2.524615,-0.16612245,-0.5869515
2089.0688,1.0234046,1.0,2.8512676,-0.9707943,-0.005192478,-2.525999,-0.16590472,-0.58654803
2122.5613,1.0222697,1.0,2.8525493,-0.9717361,-0.005205204,-2.5273712,-0.16568817,-0.5861474
2156.3677,1.0211477,1.0,2.853817,-0.97266465,-0.0052153664,-2.528732,-0.16547437,-0.58574945
2190.4512,1.0200403,1.0,2.8550076,-0.9735664,-0.0052280324,-2.5300677,-0.16524358,-0.58533716
2224.8184,1.0189556,1.0,2.856183,-0.9744536,-0.0052394764,-2.5313864,-0.16501512,-0.584929
2259.4731,1.0178912,1.0,2.857345,-0.9753268,-0.00524645,-2.5326893,-0.16478868,-0.58452314
2294.418,1.0168462,1.0,2.8584921,-0.97618604,-0.005251278,-2.5339797,-0.16456331,-0.5841193
2329.6562,1.0158179,1.0,2.8596249,-0.9770331,-0.005252977,-2.5352552,-0.16434099,-0.5837173
2365.192,1.0148062,1.0,2.8607452,-0.9778669,-0.0052529173,-2.5365174,-0.16411968,-0.58331865
2401.0261,1.0138093,1.0,2.861853,-0.97869015,-0.0052488046,-2.5377662,-0.16390009,-0.58292174
2437.1582,1.0128275,1.0,2.8629458,-0.97950053,-0.005242993,-2.5390022,-0.16368212,-0.5825272
2473.5957,1.0118589,1.0,2.86403,-0.9803002,-0.005235304,-2.5402284,-0.16346736,-0.582136
2510.3352,1.0109029,1.0,2.8651004,-0.98108983,-0.005225082,-2.5414407,-0.16325326,-0.5817463
2547.381,1.0099602,1.0,2.8661613,-0.98186946,-0.005212416,-2.5426447,-0.16304167,-0.58135927
2584.7344,1.0090289,1.0,2.8672106,-0.98263717,-0.005197008,-2.543835,-0.16283114,-0.5809742
2622.392,1.008109,1.0,2.8682494,-0.983397,-0.0051799314,-2.5450165,-0.16262211,-0.5805919
2660.3577,1.0072,1.0,2.8692763,-0.9841465,-0.005160858,-2.5461848,-0.16241552,-0.5802108
2698.632,1.0063024,1.0,2.8702931,-0.98488635,-0.005139728,-2.547345,-0.16221066,-0.5798336
2737.2126,1.0054146,1.0,2.8713005,-0.9856168,-0.0051169293,-2.5484946,-0.16200604,-0.57945675
