foc_kplus,foc_lambd,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_MLFplus,foc_TOCplus
7.367e-05,1.144e-03,1.181e-04,2.567e-04,1.395e-05,3.036e-05,3.171e-05,2.658e-05
5.698e-05,1.127e-03,1.059e-04,2.472e-04,1.833e-05,2.966e-05,2.909e-05,2.646e-05
3.946e-05,1.096e-03,9.411e-05,2.384e-04,2.122e-05,2.943e-05,2.402e-05,2.435e-05
1.788e-05,1.056e-03,8.325e-05,2.283e-04,2.447e-05,2.868e-05,2.080e-05,2.459e-05
4.292e-06,1.002e-03,7.065e-05,2.201e-04,2.831e-05,2.888e-05,1.615e-05,2.345e-05
2.801e-05,9.377e-04,5.908e-05,2.117e-04,3.004e-05,2.867e-05,1.216e-05,2.187e-05
5.198e-05,8.645e-04,4.695e-05,2.029e-04,3.272e-05,2.729e-05,8.047e-06,2.152e-05
7.761e-05,7.806e-04,3.558e-05,1.949e-04,3.582e-05,2.927e-05,3.934e-06,1.943e-05
1.028e-04,6.876e-04,2.288e-05,1.870e-04,3.788e-05,2.777e-05,1.192e-07,1.842e-05
1.310e-04,5.841e-04,1.066e-05,1.791e-04,3.925e-05,2.676e-05,4.888e-06,1.714e-05
1.577e-04,4.721e-04,1.654e-06,1.725e-04,4.306e-05,2.752e-05,9.239e-06,1.520e-05
1.479e-04,3.512e-04,2.003e-05,2.011e-04,4.900e-05,3.263e-05,6.044e-05,5.203e-05
7.069e-05,4.230e-04,3.754e-05,2.339e-04,5.704e-05,3.584e-05,1.019e-04,8.127e-05
4.053e-06,6.032e-04,4.531e-05,2.455e-04,6.220e-05,3.454e-05,1.077e-04,8.008e-05
3.409e-05,7.174e-04,4.869e-05,2.546e-04,6.640e-05,3.313e-05,1.086e-04,8.166e-05
4.268e-05,7.937e-04,4.969e-05,2.633e-04,6.711e-05,3.188e-05,1.115e-04,8.133e-05
4.053e-05,8.481e-04,5.023e-05,2.725e-04,7.010e-05,3.239e-05,1.130e-04,8.085e-05
3.421e-05,8.874e-04,4.955e-05,2.815e-04,7.230e-05,3.259e-05,1.144e-04,8.276e-05
2.348e-05,9.160e-04,4.888e-05,2.906e-04,7.322e-05,3.128e-05,1.166e-04,8.091e-05
1.061e-05,9.348e-04,4.848e-05,2.990e-04,7.483e-05,3.073e-05,1.190e-04,8.324e-05
2.861e-06,9.463e-04,4.730e-05,3.086e-04,7.540e-05,3.114e-05,1.210e-04,8.246e-05
7.868e-06,9.491e-04,4.873e-05,3.120e-04,7.358e-05,2.366e-05,1.226e-04,9.605e-05
2.623e-06,9.723e-04,4.838e-05,3.140e-04,7.114e-05,1.271e-05,1.247e-04,1.155e-04
1.431e-06,1.018e-03,4.700e-05,3.301e-04,7.161e-05,1.127e-05,1.259e-04,1.147e-04
8.106e-06,1.046e-03,4.219e-05,3.459e-04,7.296e-05,1.312e-05,1.270e-04,1.161e-04
1.919e-05,1.062e-03,3.774e-05,3.605e-04,7.433e-05,1.285e-05,1.286e-04,1.149e-04
3.231e-05,1.071e-03,3.394e-05,3.766e-04,7.573e-05,1.282e-05,1.300e-04,1.175e-04
4.733e-05,1.071e-03,2.852e-05,3.918e-04,7.617e-05,1.308e-05,1.321e-04,1.178e-04
6.258e-05,1.064e-03,2.383e-05,4.073e-04,7.668e-05,1.292e-05,1.343e-04,1.182e-04
7.570e-05,1.050e-03,2.086e-07,4.041e-04,9.957e-05,1.885e-05,1.665e-04,1.555e-04
8.190e-05,1.052e-03,2.989e-05,3.803e-04,1.393e-04,2.706e-05,2.143e-04,2.144e-04
7.939e-05,1.076e-03,1.600e-05,3.762e-04,1.373e-04,2.704e-05,2.058e-04,2.070e-04
8.667e-05,1.082e-03,1.647e-06,3.711e-04,1.359e-04,2.760e-05,1.956e-04,1.996e-04
9.727e-05,1.079e-03,1.116e-05,3.661e-04,1.340e-04,2.710e-05,1.857e-04,1.900e-04
1.098e-04,1.067e-03,2.394e-05,3.619e-04,1.327e-04,2.671e-05,1.759e-04,1.827e-04
1.241e-04,1.046e-03,3.596e-05,3.569e-04,1.296e-04,2.745e-05,1.681e-04,1.744e-04
1.407e-04,1.022e-03,4.951e-05,3.543e-04,1.272e-04,2.711e-05,1.585e-04,1.675e-04
1.551e-04,9.899e-04,6.104e-05,3.494e-04,1.257e-04,2.777e-05,1.495e-04,1.596e-04
1.699e-04,9.549e-04,7.504e-05,3.532e-04,1.207e-04,2.644e-05,1.371e-04,1.583e-04
1.706e-04,9.391e-04,9.227e-05,3.678e-04,1.119e-04,1.994e-05,1.204e-04,1.675e-04
1.518e-04,9.842e-04,1.021e-04,3.693e-04,1.114e-04,2.128e-05,1.167e-04,1.596e-04
1.503e-04,1.000e-03,1.087e-04,3.691e-04,1.105e-04,2.125e-05,1.140e-04,1.540e-04
1.562e-04,9.999e-04,1.159e-04,3.694e-04,1.085e-04,2.157e-05,1.117e-04,1.478e-04
1.568e-04,9.909e-04,1.254e-04,3.778e-04,1.060e-04,2.060e-05,1.101e-04,1.449e-04
1.444e-04,1.032e-03,1.305e-04,3.837e-04,1.042e-04,2.100e-05,1.099e-04,1.402e-04
1.419e-04,1.060e-03,1.329e-04,3.877e-04,1.035e-04,2.122e-05,1.085e-04,1.349e-04
1.469e-04,1.074e-03,1.359e-04,3.911e-04,1.005e-04,2.019e-05,1.069e-04,1.301e-04
1.547e-04,1.078e-03,1.361e-04,3.949e-04,9.969e-05,2.235e-05,1.045e-04,1.256e-04
1.637e-04,1.076e-03,1.374e-04,3.983e-04,9.778e-05,2.171e-05,1.028e-04,1.215e-04
1.760e-04,1.066e-03,1.383e-04,4.021e-04,9.567e-05,2.320e-05,1.017e-04,1.184e-04
1.867e-04,1.052e-03,1.390e-04,4.058e-04,9.316e-05,2.278e-05,1.000e-04,1.134e-04
1.991e-04,1.032e-03,1.402e-04,4.098e-04,9.108e-05,2.371e-05,9.984e-05,1.102e-04
2.115e-04,1.007e-03,1.391e-04,4.135e-04,8.914e-05,2.334e-05,9.859e-05,1.061e-04
2.240e-04,9.778e-04,1.402e-04,4.181e-04,8.726e-05,2.567e-05,9.799e-05,1.039e-04
2.365e-04,9.451e-04,1.392e-04,4.214e-04,8.449e-05,2.549e-05,9.698e-05,1.003e-04
2.668e-04,9.067e-04,1.340e-04,4.133e-04,8.217e-05,2.426e-05,1.008e-04,1.364e-04
3.389e-04,8.225e-04,1.211e-04,3.830e-04,7.927e-05,2.669e-05,1.093e-04,2.384e-04
2.855e-04,6.249e-04,1.307e-04,4.250e-04,5.436e-05,2.743e-05,1.867e-04,1.860e-04
2.329e-04,7.229e-04,1.401e-04,4.303e-04,5.412e-05,3.022e-05,1.836e-04,1.734e-04
2.117e-04,7.906e-04,1.456e-04,4.318e-04,5.394e-05,2.785e-05,1.717e-04,1.647e-04
2.075e-04,8.280e-04,1.481e-04,4.331e-04,5.293e-05,2.615e-05,1.618e-04,1.557e-04
2.098e-04,8.521e-04,1.509e-04,4.343e-04,5.269e-05,2.470e-05,1.504e-04,1.489e-04
2.167e-04,8.655e-04,1.535e-04,4.357e-04,5.096e-05,2.273e-05,1.392e-04,1.417e-04
2.241e-04,8.733e-04,1.546e-04,4.370e-04,5.001e-05,2.127e-05,1.304e-04,1.332e-04
2.310e-04,8.790e-04,1.557e-04,4.383e-04,4.950e-05,1.940e-05,1.190e-04,1.275e-04
2.414e-04,8.788e-04,1.571e-04,4.411e-04,4.709e-05,1.714e-05,1.096e-04,1.200e-04
