foc_kplus,foc_lambd,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_MLFplus,foc_TOCplus
3.369e-04,3.937e-03,1.049e-04,2.538e-04,2.396e-04,4.209e-05,7.892e-05,1.244e-04
3.581e-04,3.963e-03,1.203e-04,2.533e-04,2.283e-04,3.760e-05,7.403e-05,1.233e-04
3.757e-04,3.975e-03,1.301e-04,2.480e-04,2.151e-04,3.603e-05,7.343e-05,1.166e-04
3.852e-04,3.975e-03,1.393e-04,2.440e-04,2.039e-04,3.410e-05,7.176e-05,1.099e-04
3.915e-04,3.966e-03,1.512e-04,2.393e-04,1.914e-04,3.171e-05,6.890e-05,1.034e-04
3.970e-04,3.957e-03,1.627e-04,2.350e-04,1.795e-04,3.009e-05,6.735e-05,9.674e-05
4.016e-04,3.946e-03,1.738e-04,2.302e-04,1.676e-04,2.963e-05,6.628e-05,9.125e-05
4.044e-04,3.933e-03,1.855e-04,2.264e-04,1.556e-04,2.641e-05,6.306e-05,8.422e-05
4.091e-04,3.918e-03,1.982e-04,2.226e-04,1.431e-04,2.451e-05,6.020e-05,7.910e-05
4.114e-04,3.903e-03,2.107e-04,2.178e-04,1.324e-04,2.313e-05,5.913e-05,7.391e-05
4.158e-04,3.886e-03,2.232e-04,2.140e-04,1.202e-04,2.169e-05,5.555e-05,6.789e-05
4.195e-04,3.870e-03,2.360e-04,2.096e-04,1.086e-04,1.925e-05,5.400e-05,6.396e-05
4.237e-04,3.853e-03,2.487e-04,2.058e-04,9.632e-05,1.817e-05,5.126e-05,5.770e-05
4.267e-04,3.835e-03,2.632e-04,2.018e-04,8.476e-05,1.592e-05,5.031e-05,5.299e-05
4.321e-04,3.817e-03,2.763e-04,1.974e-04,7.302e-05,1.437e-05,4.661e-05,4.846e-05
4.349e-04,3.797e-03,2.899e-04,1.936e-04,6.142e-05,1.142e-05,4.482e-05,4.429e-05
4.705e-04,3.777e-03,3.114e-04,2.010e-04,6.717e-05,2.908e-05,1.788e-05,7.141e-05
4.994e-04,3.823e-03,3.249e-04,1.976e-04,5.859e-05,3.047e-05,1.359e-05,7.099e-05
5.174e-04,3.869e-03,3.386e-04,1.911e-04,4.554e-05,2.853e-05,1.478e-05,6.461e-05
5.307e-04,3.905e-03,3.533e-04,1.845e-04,3.216e-05,2.558e-05,1.585e-05,5.907e-05
5.395e-04,3.936e-03,3.679e-04,1.783e-04,1.988e-05,2.376e-05,1.621e-05,5.245e-05
5.473e-04,3.962e-03,3.830e-04,1.731e-04,7.510e-06,2.007e-05,1.621e-05,4.733e-05
5.548e-04,3.987e-03,3.980e-04,1.663e-04,4.053e-06,1.928e-05,1.729e-05,4.190e-05
5.621e-04,4.010e-03,4.136e-04,1.609e-04,1.648e-05,1.608e-05,1.729e-05,3.815e-05
6.205e-04,4.033e-03,4.576e-04,1.130e-04,1.720e-05,1.013e-05,2.337e-05,3.248e-05
5.944e-04,3.943e-03,4.824e-04,7.272e-05,1.454e-05,5.438e-06,3.004e-05,2.360e-05
5.361e-04,3.833e-03,4.833e-04,5.245e-05,2.658e-05,3.891e-06,3.529e-05,1.591e-05
