kx,MATx,MUOx,MLOx,MLFx,MLFeqx,TATx,TOCx,taux
1933.4357,1520.3579,1868.4427,37340.195,579.9204,230.08281,3.5497625,1.3918698,0.77007556
1963.1362,1526.2128,1876.8644,37342.164,582.11444,230.00836,3.5686705,1.4067377,0.7734987
1993.1249,1532.0178,1885.2911,37344.152,584.29346,229.93561,3.5874362,1.4216334,0.7768709
2023.3961,1537.7727,1893.7219,37346.16,586.4574,229.86449,3.6060603,1.4365557,0.78019285
2053.944,1543.477,1902.1558,37348.19,588.6057,229.79501,3.6245427,1.4515036,0.7834654
2084.7686,1549.1306,1910.5914,37350.242,590.7383,229.72711,3.642883,1.4664758,0.78668916
2115.851,1554.7328,1919.028,37352.312,592.855,229.66074,3.6610823,1.4814713,0.78986496
2147.2056,1560.283,1927.4642,37354.41,594.95544,229.59589,3.67914,1.4964888,0.7929935
2178.8408,1565.781,1935.899,37356.523,597.0395,229.53252,3.6970563,1.5115273,0.79607546
2210.7197,1571.2263,1944.3313,37358.656,599.10693,229.47057,3.7148314,1.5265856,0.79911155
2242.845,1576.6187,1952.7603,37360.812,601.1575,229.41003,3.7324655,1.5416626,0.80210245
2275.235,1581.9575,1961.1844,37362.992,603.19104,229.35088,3.7499585,1.5567572,0.8050488
2307.9019,1587.2424,1969.6031,37365.188,605.20734,229.29306,3.7673109,1.5718684,0.8079513
2340.8508,1592.4735,1978.0151,37367.41,607.2062,229.23657,3.7845228,1.586995,0.81081057
2374.0828,1597.65,1986.4197,37369.65,609.1874,229.18137,3.8015938,1.602136,0.81362724
2407.6033,1602.7721,1994.8153,37371.91,611.15076,229.12741,3.8185244,1.6172903,0.81640196
2441.4128,1607.8394,2003.2015,37374.19,613.09607,229.07468,3.835315,1.6324568,0.8191354
2475.5088,1612.8514,2011.5767,37376.492,615.02325,229.02315,3.8519664,1.6476345,0.8218281
2509.8975,1617.8085,2019.9404,37378.812,616.93207,228.9728,3.8684783,1.6628224,0.8244808
2544.5762,1622.7098,2028.2915,37381.152,618.82245,228.92357,3.8848515,1.6780193,0.82709396
2579.5457,1627.5555,2036.6289,37383.516,620.6942,228.87547,3.9010856,1.6932243,0.8296682
2614.805,1632.3455,2044.9514,37385.9,622.54724,228.82848,3.9171817,1.7084365,0.83220416
2650.355,1637.0793,2053.2583,37388.3,624.3814,228.78255,3.9331398,1.7236547,0.8347023
2686.1968,1641.7572,2061.5488,37390.727,626.19653,228.73767,3.9489603,1.7388781,0.83716327
2722.3298,1646.379,2069.8218,37393.17,627.9926,228.6938,3.9646444,1.7541056,0.83958757
2758.7559,1650.9442,2078.0767,37395.637,629.7695,228.65092,3.9801917,1.7693362,0.8419758
2795.474,1655.4531,2086.312,37398.125,631.52704,228.60904,3.9956024,1.784569,0.8443285
2832.486,1659.9053,2094.5273,37400.633,633.2652,228.56808,4.010877,1.799803,0.8466462
2869.7896,1664.3011,2102.7214,37403.16,634.9839,228.52808,4.026017,1.8150374,0.84892935
2907.385,1668.6403,2110.8933,37405.707,636.6829,228.48898,4.0410223,1.830271,0.8511785
2945.2734,1672.9226,2119.0425,37408.277,638.3623,228.45078,4.055893,1.8455031,0.8533942
2983.456,1677.1482,2127.1677,37410.867,640.0219,228.41344,4.0706296,1.8607327,0.8555769
3021.93,1681.3169,2135.2688,37413.477,641.66174,228.37694,4.085233,1.8759589,0.85772705
3060.696,1685.4288,2143.3442,37416.1,643.2817,228.34128,4.099704,1.8911809,0.8598452
3099.7563,1689.4839,2151.393,37418.754,644.8817,228.30643,4.114042,1.9063976,0.86193186
3139.1094,1693.4823,2159.4153,37421.426,646.46173,228.27237,4.1282477,1.9216082,0.86398745
3178.7566,1697.4238,2167.4097,37424.113,648.0217,228.23907,4.142323,1.9368119,0.8660124
3218.6934,1701.3086,2175.3755,37426.824,649.56165,228.20654,4.156267,1.9520079,0.86800724
3258.924,1705.1366,2183.3115,37429.55,651.0814,228.17476,4.170081,1.9671953,0.86997235
3299.4463,1708.9081,2191.2175,37432.297,652.5811,228.14369,4.1837654,1.9823731,0.8719082
3340.2625,1712.6228,2199.0923,37435.062,654.0606,228.11334,4.19732,1.9975407,0.87381524
3381.3713,1716.2809,2206.9355,37437.848,655.51984,228.08366,4.2107463,2.0126972,0.8756939
3422.771,1719.8827,2214.7466,37440.652,656.9589,228.05467,4.224045,2.0278418,0.87754464
3464.4607,1723.4281,2222.5242,37443.473,658.37775,228.02634,4.2372155,2.0429738,0.87936777
3506.414,1726.9171,2230.268,37446.32,659.7763,227.99864,4.2502594,2.058092,0.8811638
3548.4966,1730.35,2237.977,37449.184,661.1546,227.97159,4.2631764,2.0731962,0.882933
3590.7852,1733.7266,2245.651,37452.066,662.5127,227.94513,4.2759686,2.0882852,0.8846759
3633.3525,1737.0472,2253.2888,37454.973,663.8504,227.9193,4.2886353,2.1033583,0.8863929
3676.296,1740.3116,2260.89,37457.895,665.16797,227.89404,4.301176,2.1184149,0.8880843
3719.574,1743.5204,2268.4539,37460.836,666.4652,227.86935,4.313593,2.133454,0.88975054
3763.1614,1746.6735,2275.98,37463.793,667.7422,227.84521,4.3258862,2.1484752,0.89139193
3807.05,1749.7712,2283.4675,37466.773,668.9989,227.82166,4.3380566,2.1634774,0.89300895
3851.2295,1752.814,2290.9163,37469.77,670.2354,227.79861,4.350105,2.1784604,0.8946019
3895.6982,1755.8015,2298.3247,37472.78,671.45166,227.7761,4.362031,2.193423,0.8961711
3940.4536,1758.7345,2305.693,37475.816,672.64777,227.75409,4.3738356,2.2083647,0.8977169
3985.4937,1761.6128,2313.0205,37478.867,673.82385,227.73259,4.3855205,2.2232847,0.8992397
4030.8213,1764.4368,2320.3064,37481.934,674.97974,227.71158,4.3970857,2.2381825,0.90073985
4076.431,1767.2065,2327.55,37485.02,676.11566,227.69104,4.408531,2.2530575,0.9022176
4122.25,1769.9226,2334.7512,37488.12,677.23157,227.67097,4.419858,2.2679088,0.9036734
4168.3022,1772.5851,2341.9092,37491.242,678.3276,227.65135,4.431067,2.2827358,0.90510756
4214.6064,1775.194,2349.0237,37494.383,679.4037,227.6322,4.4421587,2.2975378,0.9065203
4261.178,1777.7494,2356.094,37497.535,680.45996,227.61346,4.453134,2.3123143,0.9079121
4308.0234,1780.252,2363.1196,37500.71,681.4965,227.59517,4.463993,2.3270645,0.9092831
4355.143,1782.7017,2370.1003,37503.902,682.5133,227.57729,4.4747367,2.341788,0.9106337
4402.5405,1785.0988,2377.0354,37507.11,683.51044,227.5598,4.485366,2.3564842,0.9119642
4450.2104,1787.4436,2383.9243,37510.336,684.48804,227.54272,4.49588,2.3711522,0.9132749
4498.156,1789.7367,2390.7666,37513.582,685.44617,227.52603,4.5062814,2.3857915,0.91456604
4546.3755,1791.9783,2397.562,37516.844,686.3848,227.50972,4.5165696,2.4004018,0.915838
4594.865,1794.1685,2404.3103,37520.117,687.3041,227.49377,4.5267453,2.4149823,0.917091
4643.633,1796.3076,2411.0105,37523.414,688.2041,227.4782,4.5368094,2.4295323,0.91832536
4692.6704,1798.3959,2417.6628,37526.727,689.0849,227.46297,4.546763,2.4440515,0.91954136
4741.9785,1800.4341,2424.2666,37530.05,689.94653,227.44807,4.556606,2.4585392,0.92073923
4791.557,1802.422,2430.8215,37533.4,690.78925,227.43353,4.56634,2.472995,0.9219193
4841.404,1804.3602,2437.3267,37536.754,691.61304,227.41931,4.5759654,2.4874182,0.92308176
4891.5215,1806.2491,2443.7822,37540.125,692.4179,227.40543,4.585482,2.5018082,0.92422694
4941.9023,1808.0889,2450.1882,37543.52,693.20416,227.39186,4.594891,2.5161648,0.9253551
4992.551,1809.8796,2456.5435,37546.926,693.97174,227.37859,4.604194,2.5304873,0.9264664
5043.462,1811.6223,2462.8484,37550.348,694.7209,227.36563,4.6133904,2.5447752,0.92756116
5094.627,1813.3167,2469.1023,37553.785,695.4515,227.35297,4.622482,2.559028,0.92863965
5146.0063,1814.9635,2475.3052,37557.234,696.1638,227.34058,4.6314673,2.573245,0.9297021
5197.624,1816.5627,2481.4563,37560.703,696.858,227.32848,4.640349,2.5874262,0.9307487
5249.4917,1818.1151,2487.5557,37564.188,697.534,227.31665,4.6491275,2.6015708,0.93177974
5301.6074,1819.6208,2493.603,37567.684,698.1921,227.3051,4.657803,2.6156785,0.9327954
5353.9756,1821.0802,2499.5981,37571.2,698.8323,227.29381,4.6663766,2.6297488,0.9337959
5406.6245,1822.4937,2505.5408,37574.727,699.4548,227.28276,4.6748486,2.6437812,0.93478155
5459.66,1823.8613,2511.4304,37578.27,700.0596,227.27197,4.68322,2.6577752,0.9357525
5513.019,1825.184,2517.2673,37581.83,700.6469,227.26144,4.691491,2.6717305,0.93670905
