foc_kplus,foc_lambd,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_MLFplus,foc_TOCplus
1.290e-04,1.919e-04,6.795e-05,4.834e-05,9.000e-06,1.409e-06,1.407e-05,1.892e-05
1.249e-04,1.538e-04,7.299e-05,4.959e-05,1.541e-05,8.483e-07,4.411e-06,2.146e-05
1.228e-04,1.283e-04,7.773e-05,4.959e-05,2.044e-05,3.166e-07,3.159e-06,2.325e-05
1.214e-04,1.094e-04,8.226e-05,4.917e-05,2.441e-05,1.761e-07,8.285e-06,2.494e-05
1.216e-04,1.011e-04,9.003e-05,5.341e-05,3.287e-05,6.560e-06,2.289e-05,3.129e-05
1.217e-04,9.465e-05,9.398e-05,5.615e-05,3.627e-05,7.187e-06,2.807e-05,3.335e-05
1.284e-04,9.084e-05,9.484e-05,4.178e-05,1.344e-05,3.205e-06,6.199e-06,5.275e-06
1.314e-04,9.131e-05,1.002e-04,3.541e-05,1.311e-05,1.102e-05,2.027e-06,4.500e-06
1.314e-04,9.155e-05,1.026e-04,3.725e-05,1.618e-05,1.132e-05,2.503e-06,2.950e-06
1.320e-04,9.894e-05,1.055e-04,3.874e-05,1.815e-05,1.134e-05,6.378e-06,1.788e-06
1.332e-04,1.116e-04,1.081e-04,4.017e-05,2.056e-05,1.186e-05,9.537e-06,4.172e-07
1.354e-04,1.276e-04,1.107e-04,4.125e-05,2.193e-05,1.179e-05,1.216e-05,5.960e-08
1.383e-04,1.490e-04,1.131e-04,4.244e-05,2.310e-05,1.187e-05,1.502e-05,4.768e-07
1.416e-04,1.717e-04,1.159e-04,4.405e-05,2.432e-05,1.179e-05,1.633e-05,1.192e-06
1.462e-04,2.000e-04,1.182e-04,4.530e-05,2.491e-05,1.194e-05,1.806e-05,8.941e-07
1.510e-04,2.315e-04,1.208e-04,4.655e-05,2.563e-05,1.182e-05,1.889e-05,1.431e-06
1.563e-04,2.627e-04,1.233e-04,4.840e-05,2.632e-05,1.180e-05,2.033e-05,1.132e-06
1.619e-04,2.978e-04,1.260e-04,5.072e-05,2.658e-05,1.190e-05,2.134e-05,1.371e-06
1.679e-04,3.345e-04,1.285e-04,5.263e-05,2.670e-05,1.197e-05,2.170e-05,8.643e-07
1.724e-04,3.765e-04,1.305e-04,5.287e-05,2.465e-05,1.197e-05,1.967e-05,9.835e-07
1.455e-04,4.103e-04,1.275e-04,3.153e-05,1.371e-06,1.182e-05,1.025e-05,2.679e-05
1.380e-04,3.583e-04,1.309e-04,3.821e-05,6.765e-06,1.226e-05,2.146e-06,2.462e-05
1.322e-04,3.157e-04,1.342e-04,4.321e-05,1.085e-05,1.244e-05,5.543e-06,2.238e-05
1.276e-04,2.823e-04,1.376e-04,4.691e-05,1.451e-05,1.209e-05,1.043e-05,2.098e-05
1.240e-04,2.558e-04,1.408e-04,5.001e-05,1.720e-05,1.257e-05,1.508e-05,2.018e-05
1.215e-04,2.344e-04,1.439e-04,5.156e-05,1.889e-05,1.256e-05,1.860e-05,1.943e-05
1.190e-04,2.191e-04,1.471e-04,5.352e-05,2.122e-05,1.217e-05,2.128e-05,1.892e-05
1.182e-04,2.062e-04,1.500e-04,5.460e-05,2.176e-05,1.219e-05,2.372e-05,1.925e-05
1.180e-04,1.996e-04,1.528e-04,5.549e-05,2.307e-05,1.203e-05,2.533e-05,1.919e-05
1.177e-04,1.936e-04,1.559e-04,5.633e-05,2.307e-05,1.233e-05,2.724e-05,1.922e-05
1.183e-04,1.907e-04,1.587e-04,5.716e-05,2.497e-05,1.169e-05,2.903e-05,2.009e-05
1.191e-04,1.884e-04,1.631e-04,6.270e-05,2.241e-05,1.180e-05,3.165e-05,1.451e-05
1.207e-04,1.862e-04,1.668e-04,7.039e-05,2.068e-05,1.186e-05,3.624e-05,7.719e-06
1.200e-04,1.822e-04,1.688e-04,7.272e-05,2.128e-05,1.179e-05,3.779e-05,8.017e-06
