con,Omega,ygross,ynet,inv,Eind,scc,carbontax,Dam,Emissions
536.59955,0.01977489,732.0686,717.592,180.99243,68.8198,127.444084,363.18686,14.476576,69.20519
545.26416,0.02003532,744.05743,729.15,183.88582,68.800514,129.81145,361.37546,14.90743,69.17714
554.0099,0.020296143,756.16266,740.8154,186.80551,68.77282,132.20845,359.57306,15.347185,69.14089
562.8362,0.020557312,768.38446,752.5886,189.75243,68.73683,134.63397,357.77966,15.795919,69.09653
571.74304,0.020818798,780.72345,764.4697,192.7267,68.69268,137.08821,355.99527,16.253723,69.0442
580.7313,0.021080565,793.1807,776.4601,195.72879,68.64051,139.57164,354.21964,16.7207,68.98404
589.801,0.021342568,805.75635,788.55945,198.75835,68.58031,142.08447,352.45297,17.196909,68.91602
598.9525,0.021604773,818.4508,800.7683,201.81578,68.51241,144.62692,350.6951,17.682444,68.84049
608.1861,0.021867152,831.2646,813.0872,204.90108,68.436714,147.19923,348.946,18.177391,68.75733
617.5025,0.022129659,844.19867,825.51685,208.0143,68.35346,149.80179,347.20557,18.68183,68.666794
626.9016,0.022392267,857.25287,838.057,211.15544,68.26276,152.43475,345.47385,19.195835,68.56896
636.383,0.022654941,870.42706,850.7076,214.32457,68.164635,155.09813,343.75082,19.719475,68.46388
645.94745,0.022917643,883.72186,863.46906,217.52162,68.05911,157.7921,342.0363,20.252823,68.351555
655.59485,0.023180349,897.1377,876.34174,220.74684,67.94656,160.51694,340.3304,20.795965,68.23236
665.3246,0.023443019,910.6751,889.3261,224.00154,67.82686,163.27283,338.63303,21.348974,68.10615
675.122,0.023705622,924.3336,902.42175,227.29976,67.700035,166.05858,336.944,21.911901,67.97298
684.99585,0.023968127,938.1063,915.6217,230.62585,67.565956,168.87157,335.2635,22.484653,67.83268
694.94836,0.024230499,951.99615,928.92883,233.98042,67.42467,171.71275,333.5913,23.067343,67.68534
704.97955,0.02449271,966.0028,942.3427,237.36319,67.27638,174.58266,331.92758,23.660028,67.53113
715.0909,0.024754727,980.12854,955.8658,240.77484,67.12139,177.48201,330.272,24.262815,67.370346
725.2827,0.025016518,994.37317,969.49744,244.21469,66.959755,180.41125,328.6248,24.875755,67.20305
735.5552,0.025278047,1008.73773,983.2388,247.68358,66.79153,183.37059,326.98578,25.49892,67.02929
745.90906,0.025539288,1023.22253,997.09015,251.18109,66.61695,186.36053,325.35492,26.132374,66.849304
756.34503,0.025800208,1037.8287,1011.05255,254.70744,66.4362,189.38153,323.73218,26.776197,66.66328
