kx,MATx,MUOx,MLOx,MLFx,MLFeqx,TATx,TOCx,taux
3205.86,1139.7057,1788.786,37383.547,446.87228,228.34128,2.7578585,1.5415164,0.8598452
3248.449,1137.7087,1790.3977,37385.31,446.07608,228.30643,2.7558653,1.5498971,0.86193186
3291.371,1135.6979,1791.9456,37387.074,445.27255,228.27237,2.753779,1.5582062,0.86398745
3334.6265,1133.6741,1793.4303,37388.844,444.46237,228.23907,2.7516024,1.5664437,0.8660124
3378.21,1131.6389,1794.8525,37390.617,443.646,228.20654,2.74934,1.5746094,0.86800724
3422.1226,1129.5936,1796.2128,37392.395,442.824,228.17476,2.7469952,1.5827034,0.86997235
3466.415,1127.5404,1797.5118,37394.176,441.99692,228.14369,2.7445714,1.5907253,0.8719082
3511.1223,1125.4827,1798.7502,37395.96,441.16534,228.11334,2.742073,1.5986753,0.87381524
3556.2615,1123.432,1799.929,37397.75,440.32993,228.08366,2.739506,1.6065533,0.8756939
3601.7314,1121.4209,1801.0485,37399.543,439.49197,228.05467,2.736883,1.6143594,0.87754464
3647.4778,1119.457,1802.111,37401.336,438.65454,228.02634,2.7342362,1.6220936,0.87936777
3693.4978,1117.5378,1803.1179,37403.133,437.82068,227.99864,2.7315974,1.6297562,0.8811638
3739.7974,1115.66,1804.0712,37404.934,436.9928,227.97159,2.728987,1.6373479,0.882933
3786.4478,1113.8215,1804.9724,37406.734,436.17267,227.94513,2.726419,1.6448693,0.8846759
3833.4595,1112.0195,1805.823,37408.54,435.3617,227.9193,2.723902,1.6523212,0.8863929
3880.818,1110.252,1806.6244,37410.344,434.56088,227.89404,2.7214408,1.6597044,0.8880843
3928.5208,1108.5168,1807.378,37412.152,433.771,227.86935,2.7190375,1.6670198,0.88975054
3976.5593,1106.812,1808.0852,37413.96,432.99246,227.84521,2.716693,1.6742682,0.89139193
4024.9304,1105.1368,1808.7473,37415.773,432.2255,227.82166,2.714406,1.6814506,0.89300895
4073.623,1103.4894,1809.3655,37417.582,431.47028,227.79861,2.7121754,1.6885676,0.8946019
4122.6387,1101.8689,1809.9409,37419.4,430.72684,227.7761,2.7099988,1.6956203,0.8961711
4171.9697,1100.2742,1810.4747,37421.215,429.99512,227.75409,2.7078745,1.7026094,0.8977169
4221.611,1098.7057,1810.9683,37423.035,429.2751,227.73259,2.7058005,1.7095357,0.8992397
4271.5674,1097.1632,1811.4226,37424.855,428.56662,227.71158,2.7037754,1.7164,0.90073985
4321.828,1095.6461,1811.8385,37426.676,427.8697,227.69104,2.7017987,1.7232031,0.9022176
4372.3945,1094.1536,1812.2173,37428.49,427.1841,227.67097,2.6998692,1.7299455,0.9036734
4423.2676,1092.6846,1812.5597,37430.31,426.5098,227.65135,2.6979856,1.7366283,0.90510756
4474.4434,1091.2385,1812.8671,37432.13,425.84653,227.6322,2.6961467,1.743252,0.9065203
4525.918,1089.8147,1813.1403,37433.95,425.19412,227.61346,2.694351,1.7498175,0.9079121
4577.688,1088.4126,1813.3801,37435.77,424.55234,227.59517,2.6925967,1.7563254,0.9092831
4629.7573,1087.0315,1813.5876,37437.586,423.92105,227.57729,2.690883,1.7627763,0.9106337
4682.1216,1085.6708,1813.7638,37439.41,423.29996,227.5598,2.689208,1.7691709,0.9119642
4734.783,1084.3301,1813.9092,37441.234,422.68884,227.54272,2.6875706,1.77551,0.9132749
4787.735,1083.0088,1814.0248,37443.06,422.08746,227.52603,2.6859694,1.7817941,0.91456604
4840.982,1081.7064,1814.1116,37444.883,421.49557,227.50972,2.684403,1.7880238,0.915838
4894.5156,1080.4224,1814.1702,37446.703,420.91306,227.49377,2.6828709,1.7941998,0.917091
4948.344,1079.1564,1814.2013,37448.527,420.33954,227.4782,2.6813712,1.8003228,0.91832536
5002.453,1077.9078,1814.2059,37450.35,419.77487,227.46297,2.6799033,1.8063931,0.91954136
5056.851,1076.6763,1814.1846,37452.176,419.2188,227.44807,2.6784656,1.8124117,0.92073923
5111.536,1075.4613,1814.138,37454.0,418.67117,227.43353,2.6770575,1.8183788,0.9219193
5166.508,1074.2625,1814.0669,37455.82,418.13174,227.41931,2.6756778,1.824295,0.92308176
5221.757,1073.0797,1813.9722,37457.645,417.6003,227.40543,2.6743255,1.8301611,0.92422694
5277.29,1071.9121,1813.8541,37459.47,417.07672,227.39186,2.6729996,1.8359774,0.9253551
5333.1064,1070.7596,1813.7136,37461.293,416.5607,227.37859,2.6716995,1.8417445,0.9264664
5389.1963,1069.6218,1813.5511,37463.117,416.05212,227.36563,2.6704245,1.8474629,0.92756116
5445.569,1068.4982,1813.3674,37464.938,415.5508,227.35297,2.6691728,1.8531331,0.92863965
5502.2188,1067.3885,1813.1631,37466.758,415.05652,227.34058,2.6679444,1.8587556,0.9297021
5559.1406,1066.2924,1812.9385,37468.58,414.56915,227.32848,2.6667383,1.8643309,0.9307487
