foc_kplus,foc_lambd,kkt_mu_fb,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_MLFplus,foc_TOCplus
1.408e-03,4.828e-03,2.155e-03,3.248e-04,1.544e-03,1.081e-04,1.864e-05,1.166e-04,4.852e-04
1.430e-03,4.807e-03,2.285e-03,3.194e-04,1.554e-03,1.144e-04,2.014e-05,1.097e-04,4.849e-04
1.452e-03,4.801e-03,2.405e-03,3.132e-04,1.562e-03,1.204e-04,2.178e-05,1.047e-04,4.842e-04
1.471e-03,4.801e-03,2.518e-03,3.066e-04,1.570e-03,1.275e-04,2.360e-05,1.006e-04,4.818e-04
1.478e-03,4.800e-03,2.614e-03,2.930e-04,1.584e-03,1.437e-04,3.028e-05,1.013e-04,4.809e-04
1.482e-03,4.716e-03,2.613e-03,2.859e-04,1.591e-03,1.537e-04,3.138e-05,8.607e-05,4.786e-04
1.479e-03,4.642e-03,2.600e-03,2.758e-04,1.597e-03,1.574e-04,3.958e-05,7.606e-05,4.718e-04
1.480e-03,4.557e-03,2.540e-03,2.711e-04,1.594e-03,1.656e-04,4.037e-05,6.390e-05,4.699e-04
1.482e-03,4.486e-03,2.476e-03,2.671e-04,1.586e-03,1.720e-04,4.064e-05,5.341e-05,4.661e-04
1.483e-03,4.430e-03,2.407e-03,2.624e-04,1.578e-03,1.759e-04,4.246e-05,4.601e-05,4.618e-04
1.486e-03,4.380e-03,2.335e-03,2.576e-04,1.569e-03,1.790e-04,4.282e-05,4.005e-05,4.581e-04
1.488e-03,4.341e-03,2.261e-03,2.536e-04,1.556e-03,1.805e-04,4.302e-05,3.648e-05,4.539e-04
1.491e-03,4.314e-03,2.188e-03,2.491e-04,1.543e-03,1.824e-04,4.468e-05,3.576e-05,4.495e-04
1.494e-03,4.294e-03,2.112e-03,2.451e-04,1.528e-03,1.828e-04,4.409e-05,3.362e-05,4.446e-04
1.498e-03,4.282e-03,2.039e-03,2.412e-04,1.513e-03,1.810e-04,4.465e-05,3.457e-05,4.392e-04
1.502e-03,4.278e-03,1.966e-03,2.368e-04,1.498e-03,1.812e-04,4.530e-05,3.529e-05,4.343e-04
1.505e-03,4.279e-03,1.894e-03,2.321e-04,1.482e-03,1.781e-04,4.557e-05,3.886e-05,4.287e-04
1.513e-03,4.289e-03,1.825e-03,2.399e-04,1.513e-03,1.691e-04,4.370e-05,2.623e-05,4.170e-04
1.512e-03,4.260e-03,1.826e-03,2.402e-04,1.549e-03,1.637e-04,4.289e-05,1.168e-05,4.115e-04
1.503e-03,4.212e-03,1.875e-03,2.245e-04,1.554e-03,1.676e-04,4.302e-05,5.245e-06,4.091e-04
1.495e-03,4.172e-03,1.920e-03,2.100e-04,1.556e-03,1.701e-04,4.411e-05,1.431e-06,4.069e-04
1.487e-03,4.144e-03,1.962e-03,1.966e-04,1.558e-03,1.690e-04,4.377e-05,1.669e-06,4.040e-04
1.480e-03,4.124e-03,2.002e-03,1.818e-04,1.559e-03,1.704e-04,4.422e-05,1.669e-06,4.020e-04
1.473e-03,4.112e-03,2.039e-03,1.685e-04,1.558e-03,1.689e-04,4.357e-05,7.153e-07,3.977e-04
1.466e-03,4.106e-03,2.075e-03,1.545e-04,1.555e-03,1.677e-04,4.405e-05,4.768e-07,3.960e-04
1.460e-03,4.108e-03,2.108e-03,1.414e-04,1.555e-03,1.661e-04,4.422e-05,2.384e-06,3.923e-04
1.453e-03,4.116e-03,2.142e-03,1.269e-04,1.552e-03,1.628e-04,4.413e-05,6.199e-06,3.884e-04
1.448e-03,4.128e-03,2.175e-03,1.133e-04,1.549e-03,1.587e-04,4.318e-05,1.073e-05,3.850e-04
1.442e-03,4.148e-03,2.208e-03,9.902e-05,1.546e-03,1.553e-04,4.322e-05,1.550e-05,3.803e-04
1.437e-03,4.169e-03,2.241e-03,8.476e-05,1.543e-03,1.510e-04,4.295e-05,2.146e-05,3.762e-04
1.432e-03,4.198e-03,2.274e-03,7.114e-05,1.540e-03,1.481e-04,4.277e-05,2.837e-05,3.723e-04
1.414e-03,4.230e-03,2.308e-03,4.821e-05,1.552e-03,1.359e-04,3.985e-05,5.579e-05,3.813e-04
1.400e-03,4.254e-03,2.255e-03,3.062e-05,1.545e-03,1.289e-04,3.867e-05,7.033e-05,3.839e-04
1.395e-03,4.275e-03,2.153e-03,2.116e-05,1.522e-03,1.237e-04,3.737e-05,6.723e-05,3.769e-04
1.390e-03,4.300e-03,2.053e-03,1.034e-05,1.497e-03,1.211e-04,3.684e-05,6.557e-05,3.700e-04
1.388e-03,4.330e-03,1.954e-03,8.941e-08,1.508e-03,1.457e-04,4.391e-05,2.575e-05,3.635e-04
1.377e-03,4.324e-03,1.855e-03,9.760e-06,1.493e-03,1.490e-04,4.530e-05,1.502e-05,3.559e-04
1.365e-03,4.318e-03,1.757e-03,2.129e-05,1.468e-03,1.460e-04,4.384e-05,1.144e-05,3.489e-04
1.351e-03,4.320e-03,1.661e-03,3.000e-05,1.447e-03,1.426e-04,4.452e-05,7.153e-06,3.430e-04
1.306e-03,4.323e-03,1.570e-03,2.690e-05,1.466e-03,1.522e-04,4.482e-05,3.481e-05,3.380e-04
1.287e-03,4.272e-03,1.460e-03,4.464e-05,1.459e-03,1.491e-04,4.439e-05,3.624e-05,3.334e-04
1.271e-03,4.231e-03,1.354e-03,6.251e-05,1.451e-03,1.462e-04,4.387e-05,3.600e-05,3.284e-04
1.254e-03,4.196e-03,1.251e-03,7.883e-05,1.443e-03,1.410e-04,4.284e-05,3.409e-05,3.228e-04
1.238e-03,4.167e-03,1.152e-03,9.656e-05,1.432e-03,1.358e-04,4.189e-05,3.123e-05,3.178e-04
1.222e-03,4.145e-03,1.056e-03,1.125e-04,1.421e-03,1.302e-04,4.153e-05,2.670e-05,3.124e-04
1.206e-03,4.127e-03,9.651e-04,1.296e-04,1.410e-03,1.225e-04,4.100e-05,2.170e-05,3.063e-04
1.191e-03,4.113e-03,8.776e-04,1.456e-04,1.398e-03,1.169e-04,3.924e-05,1.597e-05,3.012e-04
1.175e-03,4.105e-03,7.946e-04,1.620e-04,1.387e-03,1.088e-04,3.857e-05,1.097e-05,2.953e-04
1.160e-03,4.098e-03,7.147e-04,1.776e-04,1.375e-03,1.020e-04,3.871e-05,3.099e-06,2.910e-04
1.145e-03,4.097e-03,6.394e-04,1.938e-04,1.363e-03,9.412e-05,3.628e-05,4.530e-06,2.850e-04
1.130e-03,4.097e-03,5.684e-04,2.099e-04,1.351e-03,8.643e-05,3.596e-05,1.097e-05,2.784e-04
1.117e-03,4.101e-03,5.019e-04,2.256e-04,1.338e-03,7.933e-05,3.495e-05,1.931e-05,2.738e-04
1.101e-03,4.107e-03,4.387e-04,2.412e-04,1.327e-03,7.069e-05,3.397e-05,2.766e-05,2.682e-04
1.081e-03,4.116e-03,3.799e-04,2.546e-04,1.322e-03,6.479e-05,3.704e-05,3.672e-05,2.661e-04
1.043e-03,4.111e-03,3.061e-04,2.630e-04,1.334e-03,6.354e-05,4.411e-05,4.625e-05,2.804e-04
1.022e-03,4.059e-03,1.888e-04,2.857e-04,1.334e-03,5.966e-05,4.242e-05,4.792e-05,2.742e-04
1.001e-03,4.013e-03,7.494e-05,3.053e-04,1.333e-03,5.162e-05,4.056e-05,4.983e-05,2.698e-04
9.811e-04,3.973e-03,0.000e+00,3.271e-04,1.330e-03,4.548e-05,3.996e-05,5.484e-05,2.636e-04
9.609e-04,3.937e-03,0.000e+00,3.467e-04,1.328e-03,3.821e-05,3.764e-05,5.865e-05,2.594e-04
9.409e-04,3.907e-03,0.000e+00,3.670e-04,1.323e-03,3.022e-05,3.682e-05,6.509e-05,2.536e-04
9.211e-04,3.881e-03,0.000e+00,3.861e-04,1.320e-03,2.152e-05,3.567e-05,7.224e-05,2.484e-04
9.018e-04,3.858e-03,0.000e+00,4.065e-04,1.316e-03,1.401e-05,3.419e-05,7.868e-05,2.431e-04
8.823e-04,3.838e-03,0.000e+00,4.253e-04,1.312e-03,5.066e-06,3.281e-05,8.702e-05,2.373e-04
8.643e-04,3.821e-03,0.000e+00,4.448e-04,1.307e-03,3.994e-06,3.133e-05,9.418e-05,2.326e-04
8.441e-04,3.808e-03,0.000e+00,4.636e-04,1.302e-03,1.317e-05,3.057e-05,1.028e-04,2.260e-04
8.265e-04,3.794e-03,0.000e+00,4.828e-04,1.298e-03,2.229e-05,2.822e-05,1.118e-04,2.216e-04
8.074e-04,3.786e-03,0.000e+00,5.010e-04,1.294e-03,3.034e-05,2.835e-05,1.199e-04,2.170e-04
7.890e-04,3.776e-03,0.000e+00,5.203e-04,1.289e-03,3.994e-05,2.496e-05,1.285e-04,2.102e-04
7.713e-04,3.771e-03,0.000e+00,5.387e-04,1.284e-03,5.001e-05,2.463e-05,1.380e-04,2.055e-04
7.527e-04,3.767e-03,0.000e+00,5.571e-04,1.280e-03,5.889e-05,2.266e-05,1.483e-04,2.000e-04
7.347e-04,3.763e-03,0.000e+00,5.755e-04,1.275e-03,6.682e-05,2.203e-05,1.562e-04,1.955e-04
7.173e-04,3.762e-03,0.000e+00,5.941e-04,1.272e-03,7.838e-05,2.010e-05,1.671e-04,1.897e-04
6.991e-04,3.763e-03,0.000e+00,6.122e-04,1.266e-03,8.684e-05,1.847e-05,1.764e-04,1.843e-04
6.816e-04,3.764e-03,0.000e+00,6.303e-04,1.263e-03,9.638e-05,1.809e-05,1.860e-04,1.799e-04
6.642e-04,3.767e-03,0.000e+00,6.488e-04,1.258e-03,1.066e-04,1.585e-05,1.955e-04,1.734e-04
6.468e-04,3.771e-03,0.000e+00,6.663e-04,1.255e-03,1.158e-04,1.438e-05,2.058e-04,1.692e-04
6.293e-04,3.775e-03,0.000e+00,6.851e-04,1.250e-03,1.257e-04,1.297e-05,2.151e-04,1.638e-04
6.124e-04,3.781e-03,0.000e+00,7.024e-04,1.246e-03,1.347e-04,1.124e-05,2.260e-04,1.586e-04
5.951e-04,3.787e-03,0.000e+00,7.196e-04,1.243e-03,1.458e-04,1.066e-05,2.358e-04,1.540e-04
5.785e-04,3.796e-03,0.000e+00,7.386e-04,1.239e-03,1.545e-04,8.403e-06,2.460e-04,1.486e-04
5.615e-04,3.804e-03,0.000e+00,7.553e-04,1.235e-03,1.643e-04,7.038e-06,2.561e-04,1.435e-04
5.414e-04,3.814e-03,0.000e+00,7.729e-04,1.235e-03,1.640e-04,6.551e-06,2.575e-04,1.349e-04
5.187e-04,3.812e-03,0.000e+00,7.897e-04,1.242e-03,1.538e-04,7.840e-06,2.482e-04,1.251e-04
4.975e-04,3.791e-03,0.000e+00,8.082e-04,1.243e-03,1.632e-04,6.925e-06,2.582e-04,1.215e-04
4.768e-04,3.772e-03,0.000e+00,8.265e-04,1.240e-03,1.738e-04,3.752e-06,2.685e-04,1.160e-04
4.559e-04,3.757e-03,0.000e+00,8.439e-04,1.239e-03,1.821e-04,3.068e-06,2.801e-04,1.104e-04
4.360e-04,3.747e-03,0.000e+00,8.606e-04,1.235e-03,1.933e-04,1.174e-06,2.911e-04,1.061e-04
4.158e-04,3.736e-03,0.000e+00,8.776e-04,1.233e-03,2.028e-04,3.430e-07,3.028e-04,1.010e-04
3.955e-04,3.729e-03,0.000e+00,8.940e-04,1.230e-03,2.133e-04,2.111e-06,3.157e-04,9.727e-05
3.755e-04,3.723e-03,0.000e+00,9.118e-04,1.226e-03,2.242e-04,2.692e-06,3.285e-04,9.227e-05
3.559e-04,3.717e-03,0.000e+00,9.275e-04,1.223e-03,2.343e-04,5.601e-06,3.409e-04,8.738e-05
3.355e-04,3.715e-03,0.000e+00,9.436e-04,1.220e-03,2.440e-04,6.052e-06,3.538e-04,8.148e-05
3.163e-04,3.712e-03,0.000e+00,9.592e-04,1.215e-03,2.553e-04,7.864e-06,3.674e-04,7.731e-05
2.972e-04,3.711e-03,0.000e+00,9.752e-04,1.212e-03,2.652e-04,9.636e-06,3.798e-04,7.266e-05
2.770e-04,3.712e-03,0.000e+00,9.907e-04,1.209e-03,2.763e-04,9.992e-06,3.936e-04,6.843e-05
