foc_kplus,foc_lambd,kkt_mu_fb,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_MLFplus,foc_TOCplus
7.296e-05,1.550e-04,2.897e-05,1.784e-04,1.855e-04,7.150e-05,1.080e-05,9.197e-05,1.229e-04
7.379e-05,1.559e-04,6.163e-05,1.814e-04,1.919e-04,6.464e-05,1.058e-05,8.160e-05,1.263e-04
7.737e-05,1.595e-04,9.334e-05,1.850e-04,1.987e-04,5.841e-05,1.069e-05,7.242e-05,1.276e-04
7.945e-05,1.605e-04,1.242e-04,1.878e-04,2.060e-04,5.144e-05,1.117e-05,6.294e-05,1.297e-04
8.297e-05,1.652e-04,1.540e-04,1.914e-04,2.137e-04,4.467e-05,1.099e-05,5.269e-05,1.321e-04
8.762e-05,1.686e-04,1.824e-04,1.947e-04,2.217e-04,3.827e-05,1.085e-05,4.333e-05,1.343e-04
9.149e-05,1.712e-04,2.096e-04,1.982e-04,2.301e-04,3.195e-05,1.124e-05,3.380e-05,1.359e-04
9.727e-05,1.760e-04,2.355e-04,2.016e-04,2.388e-04,2.509e-05,1.074e-05,2.325e-05,1.378e-04
1.034e-04,1.814e-04,2.598e-04,2.046e-04,2.483e-04,1.746e-05,1.073e-05,1.353e-05,1.399e-04
1.090e-04,1.848e-04,2.825e-04,2.087e-04,2.571e-04,1.156e-05,1.127e-05,3.695e-06,1.415e-04
1.165e-04,1.912e-04,3.036e-04,2.119e-04,2.680e-04,4.381e-06,1.061e-05,6.020e-06,1.435e-04
1.242e-04,1.974e-04,3.228e-04,2.158e-04,2.783e-04,1.878e-06,1.066e-05,1.645e-05,1.453e-04
1.331e-04,2.036e-04,3.401e-04,2.192e-04,2.894e-04,8.911e-06,1.069e-05,2.605e-05,1.465e-04
1.417e-04,2.100e-04,3.555e-04,2.235e-04,3.003e-04,1.609e-05,1.049e-05,3.624e-05,1.481e-04
1.580e-04,2.158e-04,3.689e-04,2.329e-04,3.060e-04,1.568e-05,1.087e-05,4.441e-05,1.469e-04
2.146e-04,2.222e-04,3.807e-04,2.713e-04,2.723e-04,1.723e-05,1.328e-05,4.005e-05,1.260e-04
2.181e-04,2.332e-04,3.935e-04,2.618e-04,2.456e-04,1.070e-05,1.312e-05,4.679e-05,1.220e-04
2.223e-04,2.429e-04,4.040e-04,2.525e-04,2.194e-04,4.679e-06,1.292e-05,5.418e-05,1.175e-04
2.263e-04,2.549e-04,4.120e-04,2.429e-04,1.929e-04,1.431e-06,1.238e-05,6.121e-05,1.141e-04
2.313e-04,2.692e-04,4.176e-04,2.329e-04,1.694e-04,8.017e-06,1.144e-05,6.849e-05,1.091e-04
2.367e-04,2.832e-04,4.207e-04,2.233e-04,1.450e-04,1.419e-05,1.210e-05,7.659e-05,1.047e-04
2.863e-04,2.971e-04,4.212e-04,1.963e-04,3.070e-05,2.375e-05,1.046e-05,3.159e-06,1.508e-05
3.015e-04,2.789e-04,4.425e-04,1.879e-04,2.575e-05,1.344e-05,1.163e-06,8.702e-06,8.330e-05
2.855e-04,2.484e-04,4.699e-04,1.902e-04,2.259e-05,1.082e-05,1.309e-06,2.444e-06,7.677e-05
2.726e-04,2.229e-04,4.935e-04,1.921e-04,1.389e-05,1.165e-05,2.078e-07,1.073e-06,7.010e-05
2.638e-04,2.031e-04,5.133e-04,1.933e-04,1.013e-06,1.377e-05,1.608e-06,2.444e-06,6.190e-05
2.478e-04,1.874e-04,5.296e-04,1.954e-04,1.037e-05,1.264e-05,9.052e-07,5.901e-06,5.561e-05
2.334e-04,1.736e-04,5.419e-04,1.983e-04,2.170e-05,1.052e-05,1.025e-06,1.025e-05,5.114e-05
2.184e-04,1.638e-04,5.504e-04,1.998e-04,3.517e-05,9.686e-06,8.137e-07,1.383e-05,4.566e-05
2.054e-04,1.564e-04,5.551e-04,2.024e-04,4.983e-05,8.404e-06,7.297e-07,1.621e-05,4.074e-05
1.968e-04,1.512e-04,5.561e-04,2.085e-04,6.425e-05,7.749e-07,3.698e-06,2.182e-05,2.459e-05
